Mikar Minsi	20	390	210072	797153	0
Mikarampur	33	314	264203	831929	0
Mikash ki Dhani	28	463	280021	766305	0
Mikatoli	14	310	229527	849825	0
Mike	27	468	316672	753422	0
Mikhala	28	519	287107	751152	0
Mikhari Purwa	33	31	270050	812207	0
Mikhola	29	85	271399	883510	0
Mikin	13	-1	320447	780524	0
Mikirbheta	3	719	263214	924613	0
Mikirgaon	3	631	262261	927566	0
Mikirgaon	3	631	261407	926934	0
Mikirgaon	3	391	263622	932502	0
Mikkalpatti	30	264	100658	784354	0
Mikkarpalaiyam	30	204	115947	775645	0
Mikkere	15	93	123980	769527	0
Mikkeru	30	114	113330	766714	0
Mikkinenipalle	1	224	150645	782701	0
Miklipara	22	419	250455	924271	0
Mikpur	33	174	278142	777140	0
Mikranji ka Gudha	28	263	256418	737656	0
Miku Purwa	33	522	272058	819165	0
