Modinagar	33	697	288306	775730	475843
Modasa	10	124	234625	732986	67648
Modameedipalle	1	221	147360	785606	11397
Modakkurichchi	30	204	112329	777794	9907
Mod	20	182	215920	743147	0
Mod	19	335	227940	745265	0
Mod Behk	13	0	343160	741469	0
Moda	20	112	202714	751778	0
Moda	1	426	138246	774421	0
Moda	20	110	195802	790333	0
Modab	19	239	218015	745045	0
Modachakanahalli	15	93	125594	768027	0
Modachchur	30	204	114415	774287	0
Modage	15	77	158820	746466	0
Modaheti	20	67	202496	784929	0
Modahi	4	581	255807	848248	0
Modaiyur	30	238	125765	800233	0
Modaiyur	30	192	125058	792254	0
Modaiyur	30	197	122331	794922	0
Modakhera	11	327	292133	754251	0
Modakkallur	16	252	114349	757778	0
Modakkurichchiyanur	30	204	115855	775851	0
Modakpal	6	80	187567	807124	0
Modakpur	19	326	235404	784702	0
Modala	31	90	188875	791851	0
Modalakkilvayalkara	16	528	89603	766149	0
Modalcheri	30	254	104002	793318	0
Modalikatti	15	352	151094	758902	0
Modalippatti	30	109	123362	781385	0
Modaliyareri	30	184	129990	789219	0
Modallavalasa	1	453	183565	838481	0
Modalli	15	69	121088	772324	0
Modalpada	20	182	215582	740855	0
Modalpeta	1	453	183510	838012	0
Modamangalam	30	223	114204	778190	0
Modamidipalle	1	221	145752	787583	0
Modamidipalle	1	221	145051	788316	0
Modamkottai	30	193	101007	789864	0
Modammaguda	31	128	174868	792343	0
Modampalle	1	195	153667	789059	0
Modampalli	31	306	168980	782550	0
Modan Purwa	33	645	261296	798964	0
Modan Singh ka Bigha	4	734	252774	846779	0
Modanapalaiyam	30	192	125451	792786	0
Modangi	25	373	198355	837502	0
Modankheri	19	208	240359	780331	0
Modanpur	19	313	250767	805258	0
Modanthyar	15	55	129492	751881	0
Modapa	20	182	217806	742947	0
Modarahalli	30	215	124150	784019	0
Modarapadu	31	229	186100	801868	0
Modari	28	487	248699	767830	0
Modaria	19	311	230413	762779	0
Modassilpur	4	615	261181	842761	0
Modauhan	33	619	252222	810290	0
Modavandipalaiyam	30	204	113987	773309	0
Modavandisatyamangalam	30	204	112635	777285	0
Modavankovil	30	51	117478	786400	0
Modawasi	28	519	287042	753170	0
Moddulavaripalle	1	190	139499	784118	0
Mode	6	627	203204	819773	0
Mode	27	214	316364	745804	0
Mode	6	676	202507	813546	0
Modebhatti	20	134	203535	802838	0
Modegunta	1	6	145529	800471	0
Modekop	15	77	156863	744438	0
Model Town	11	482	301487	766857	0
Model Town	11	689	288917	766118	0
Model Town	11	327	291336	757444	0
Model Town	11	88	300075	772266	0
Model Town	11	466	289833	770262	0
Model Town	8	737	287088	771896	0
Model Town	11	286	293882	769586	0
Modepalle	1	212	157483	799320	0
Modgani	15	59	144449	744047	0
Modh	20	49	209059	764521	0
Modhamayacha	20	67	196380	780460	0
Modhanpur	33	698	259891	808787	0
Modhe	6	279	221113	818981	0
Modhipur	4	396	252902	868743	0
Modhli	11	88	301227	771924	0
Modhma	4	117	246172	848479	0
Modhna	19	322	266865	785502	0
Modhna Jawahar	19	459	264597	777852	0
Modhna Mikham	19	459	264603	777981	0
Modhni Nava	19	459	264767	777955	0
Modhni Samanth	19	459	264713	777925	0
Modholia	25	683	215128	851819	0
Modhpur	33	33	258967	823556	0
Modhu Bigha	4	117	246250	849962	0
Modhutra	10	231	237564	710981	0
Modhuwala	11	88	301966	773158	0
Modi	11	563	297804	747049	0
Modi	28	428	263705	747902	0
Modi	28	428	259073	742374	0
Modi	28	321	244857	764556	0
Modi	1	307	164412	814069	0
Modi	1	307	163785	816700	0
Modi	31	160	194632	790942	0
Modi Bigha	4	507	252484	848819	0
Modi Chak	14	732	243697	852503	0
Modi Hospital Road	15	43	129984	775461	0
Modi ka Khera	28	298	257731	744092	0
Modi Khera	27	3	299917	744169	0
Modi Rai	4	615	261145	846974	0
Modia	28	428	257712	739464	0
Modia Khera	11	563	294372	749649	0
Modianpur	35	347	240689	876968	0
Modiapur	33	645	262576	798826	0
Modibigha	14	434	246304	860567	0
Modichchiyam	30	264	99238	781364	0
Modidih	14	541	231526	857426	0
Modidih	14	434	244368	859610	0
Modidih	14	454	243856	858071	0
Modidih	14	434	241677	857959	0
Modidih	4	505	246559	863345	0
Modigapeta	1	176	182392	834432	0
Modikhera	28	550	254182	739326	0
Modikkadavu	30	204	116819	772963	0
Modikoppal	15	93	126013	766995	0
Modikuan	33	444	254342	802280	0
Modikudar	25	368	218339	859151	0
Modikuppam	30	215	124658	782924	0
Modipapanipalle	1	207	134233	785792	0
Modipattu	30	197	124311	793872	0
Modipur	19	309	234863	765994	0
Modipur	4	112	251084	845489	0
Modipur	33	659	275451	800609	0
Modipur	33	659	270693	801578	0
Modipuram	33	672	290638	777038	0
Modiramala Kanikkudi	30	435	84980	773147	0
Moditoli	14	541	232836	856170	0
Modiya	4	615	261947	840364	0
Modiyan ki Dhani	28	288	282335	756613	0
Modla	10	126	215374	740737	0
Modlamane	15	59	143556	747136	0
Modpur	10	143	222653	698009	0
Modra	20	141	212303	781098	0
Modra	33	605	266843	822127	0
Modran	28	330	251843	724304	0
Modri	19	317	222822	761160	0
Modriatanr	14	673	240581	838945	0
Modu Purwa	33	31	266999	812363	0
Moduda	16	256	120331	753219	0
Modugagunta	1	307	168821	815678	0
Modugalapalem	1	45	137945	798935	0
Modugalapalem	1	45	137385	799782	0
Modugu	1	194	184219	830732	0
Modugulapalaiyam	1	45	136576	796146	0
Modugulapalle	1	207	134116	785401	0
Modugulapeta	1	176	183173	836504	0
Modugulapeta	1	176	184553	837550	0
Moduhalli	30	109	121991	781612	0
Moduikonatoli	14	310	231423	842619	0
Modukavalasa	1	453	186392	839462	0
Modukulahalli	30	109	122487	781040	0
Modukulahalli	30	215	123249	784539	0
Modukunta	31	128	175090	791269	0
Modulguda	31	46	171091	807110	0
Modulur	30	192	124292	796022	0
Modupatti	30	51	117390	780627	0
Moduppatti	30	183	106691	776633	0
Modur	15	246	144061	768492	0
Modur	15	93	126032	765196	0
Modur	15	59	146552	747349	0
Modur	15	92	129088	770021	0
Modur	30	109	122220	781636	0
Modur	30	192	123271	791293	0
Modur	30	154	112220	768756	0
Modur	30	204	115110	773400	0
Modur Koppal	15	74	123666	762472	0
Moduru	15	74	123607	762512	0
Modwa	10	170	226614	740455	0
