Mokameh	4	581	253966	859219	60678
Mokokchung	24	304	263248	945183	35913
Mokeri	16	256	117776	755731	19684
Mok	4	117	249545	847835	0
Mok Tanda	15	71	172949	769346	0
Moka	15	44	152380	770599	0
Mokadah	6	620	205908	809711	0
Mokadampur	15	72	168009	772956	0
Mokaddarpur	33	659	276540	801343	0
Mokaguda	25	273	194960	832127	0
Mokaguda	25	305	186821	825109	0
Mokal	28	210	271297	707598	0
Mokal	10	711	216084	697871	0
Mokal	27	468	317772	753740	0
Mokal	27	355	316065	756074	0
Mokal Chak	14	570	250060	871930	0
Mokala	28	414	266287	739342	0
Mokalaguruvayyapalli	1	207	131658	790016	0
Mokalaw	22	162	255270	924399	0
Mokalbara	19	326	229647	781307	0
Mokalbara	19	326	229015	780784	0
Mokalgaon	19	202	217970	762372	0
Mokalheri	28	463	274461	768807	0
Mokali	15	652	127323	760767	0
Mokalmau	19	338	239917	790878	0
Mokalpur	33	479	256683	831407	0
Mokalpur	33	479	257305	832012	0
Mokalpur	33	242	253764	831723	0
Mokalpur	33	33	258396	826148	0
Mokalpur	33	33	256745	825874	0
Mokalpur	33	516	258864	838160	0
Mokalpur	33	522	271054	818947	0
Mokalpur	33	522	270352	824142	0
Mokalpur	33	522	270610	825074	0
Mokalpur	33	605	267047	820497	0
Mokalsar	28	360	289988	739020	0
Mokalsar	28	274	256044	725096	0
Mokalwara	19	568	227372	783250	0
Mokalwara	19	326	230208	778215	0
Mokalwari	19	568	227489	782916	0
Mokalwas	11	606	283309	768834	0
Mokam	28	296	276250	736194	0
Mokam	33	282	274756	816561	0
Mokameh	4	590	256900	871103	0
Mokameh Ghat	4	581	253905	859487	0
Mokamji ka Gudha	28	263	255789	736854	0
Mokamji Muwara	10	124	230947	732829	0
Mokamo	14	434	241457	859906	0
Mokampur	33	682	275735	790428	0
Mokampur	33	445	272503	792987	0
Mokampur	33	532	264796	827026	0
Mokampur	28	163	231652	745610	0
Mokampur	19	335	229148	747614	0
Mokand Khera	33	654	263475	810579	0
Mokand Singhwala	27	592	306610	745221	0
Mokandpur	33	523	280304	781958	0
Mokanhalli Horahatti	15	97	131382	757014	0
Mokanpalli	31	75	187652	780545	0
Mokanpura	19	16	241879	764363	0
Mokanpura	19	335	228452	746729	0
Mokar	4	507	253006	849966	0
Mokar	4	394	250032	840305	0
Mokara	28	550	249836	736775	0
Mokaram	4	718	249414	836522	0
Mokaram	4	718	250018	838095	0
Mokarba	33	242	253436	826968	0
Mokareddipalli	15	422	137958	778723	0
Mokaria	4	602	257541	877670	0
Mokarrampur	4	535	262176	860433	0
Mokarrampur	4	569	261033	861561	0
Mokarri	4	394	251734	841602	0
Mokarri	4	136	257428	861767	0
Mokarritola	4	117	247233	850632	0
Mokarsim	33	102	247720	829264	0
Mokarwara	28	493	238586	736610	0
Mokat	19	313	249070	810147	0
Mokatola	20	390	214782	797084	0
Mokela	20	134	193715	803774	0
Mokeri	16	252	116848	757459	0
Mokh	20	67	201666	777266	0
Mokha	19	443	221552	779336	0
Mokha	6	642	208617	813863	0
Mokha	6	642	206537	814047	0
Mokha	6	627	208454	815154	0
Mokha	27	544	312102	752440	0
Mokha	6	393	210016	825032	0
Mokha	6	676	203255	809829	0
Mokha Putka	6	393	213365	829457	0
Mokhab	28	274	262263	714972	0
Mokhabardi	20	139	208417	795298	0
Mokhad	20	127	205337	775183	0
Mokhad	20	132	207164	778116	0
Mokhad Pada	20	185	210151	740228	0
Mokhada	20	187	199365	733403	0
Mokhala	20	139	207603	794858	0
Mokhala	20	110	204532	794442	0
Mokhampur	33	672	289532	776705	0
Mokhampura	28	120	267784	753718	0
Mokhampura	28	402	250795	746526	0
Mokhampura	28	550	251331	738514	0
Mokhampura	28	298	254238	742301	0
Mokhanda	28	298	253043	740820	0
Mokhangaon	19	317	220999	760110	0
Mokhar Kalan	14	673	244607	839296	0
Mokhara	20	390	208331	796773	0
Mokhara	20	110	204480	791072	0
Mokhara	20	110	201190	798950	0
Mokhari Bigha	4	734	250714	847544	0
Mokhasa Kottavalasa	1	176	182915	834347	0
Mokhasdara	20	138	188252	774472	0
Mokhatra	28	330	248005	720401	0
Mokhbhangi	20	54	205590	740131	0
Mokhe	27	468	320593	754638	0
Mokhe	20	390	211171	800527	0
Mokhed	20	67	200246	774847	0
Mokheri	28	331	270640	723125	0
Mokheta	4	112	246381	844804	0
Mokhetara	6	299	211195	819047	0
Mokhji ka Khera	28	402	250611	745893	0
Mokhla	6	299	211617	819028	0
Mokhli	6	455	210286	809868	0
Mokhlispur	33	623	266057	830254	0
Mokhpal	6	392	186814	814721	0
Mokhra	19	462	245866	790485	0
Mokhra Khas	11	689	288875	764290	0
Mokhri	33	621	257711	799736	0
Mokhri	33	710	259666	794566	0
Mokhtarpur	4	112	249481	844579	0
Mokila	31	62	174262	781882	0
Mokila Tanda	31	62	174407	781917	0
Mokimpur	33	724	288607	780824	0
Mokimpur	4	581	253943	849030	0
Mokimpur	4	495	253748	854807	0
Mokina	12	460	309857	777230	0
Mokinatola	4	602	254731	873241	0
Mokkaguda	25	349	193540	838552	0
Mokkalapalli	15	422	135941	777755	0
Mokkalapudi	1	45	139608	795330	0
Mokkamkottai	30	5	96208	788422	0
Mokkampalle	25	108	178175	814962	0
Mokkaput	1	258	185314	824731	0
Mokkatti	30	114	113657	767458	0
Mokkayampalaiyam	30	204	113534	776603	0
Mokkiliganipalle	1	207	133564	786851	0
Mokla	6	455	210612	811196	0
Mokla	19	338	234832	790910	0
Mokla	33	282	273547	816162	0
Mokla	33	522	270499	820737	0
Mokla	19	635	226460	757660	0
Moklasni	28	331	260660	733520	0
Mokli Thadi	20	138	188395	778124	0
Moklingia	25	373	200811	843944	0
Moklingia	25	373	200743	843939	0
Mokma	4	636	257650	868278	0
Mokma	4	636	257579	868388	0
Mokra	19	335	228973	746777	0
Mokra	14	310	228533	843681	0
Mokrahatu	14	276	223511	856334	0
Mokram	33	102	247148	830933	0
Mokrampur	4	394	249134	838706	0
Mokrawad	28	357	249912	761751	0
Mokreala	13	485	331341	743302	0
Mokri	4	718	250184	835633	0
Mokri	19	335	228926	746637	0
Mokri	4	734	252424	846734	0
Mokri	34	413	297269	796439	0
Mokri	4	382	265425	848750	0
Mokritola	4	117	247167	851672	0
Mokro	19	142	218219	808109	0
Mokro	14	310	231155	845663	0
Mokrotola	19	142	218205	808071	0
Mokshagundam	1	195	154550	790718	0
Mokshakulam	30	197	118703	795829	0
Moktama	14	732	240797	854833	0
Moktampuram	1	195	153051	789830	0
Mokumallakunta	1	426	145417	779064	0
Mokundpura	19	129	224804	748639	0
Mokur	30	376	117686	789395	0
Mokuti	14	416	228497	854871	0
