Moradabad	33	492	288389	787768	721139
Morvi	10	145	228173	708377	210451
Morena	19	459	264989	779953	200482
Mormugao	9	101	153891	738149	102345
Morar	19	465	262264	782248	48464
Morsi	20	132	213403	780126	37333
Morigaon	3	719	262491	923476	29164
Morinda	27	704	307901	764988	24022
Morwa	10	177	229047	738391	20168
Moram	20	48	177881	764708	18371
Moreh	21	649	242508	943007	16847
Morampudi	1	87	169800	818371	15346
Mora	10	137	211783	726589	13924
Morongial	3	631	263326	926835	10318
Morak	28	357	247266	759558	9204
Moran Town	3	366	271874	949147	8434
Morewadi	20	57	166624	742544	7222
Moranha	3	366	271874	949156	7136
Moragudi	1	221	148626	783788	6812
Morjim	9	24	156310	737390	6760
Morattuppalaiyam	30	227	111606	774091	5798
Mor	28	302	261368	754327	0
Mor	4	581	254345	858636	0
Mor	12	460	312851	773677	0
Mor	4	394	249514	839619	0
Mor	12	39	318928	764015	0
Mor	28	163	232075	744284	0
Mor	34	413	294702	797037	0
Mor	10	177	230807	736979	0
Mor ka Bag	12	604	309988	771646	0
Mor Karima	27	647	308357	756084	0
Mor Katia	33	488	273902	812706	0
Mor Katwa	33	522	271984	818619	0
Mor Majra	11	439	294793	767866	0
Mor Makhdumpur	33	553	290835	784336	0
Mor Purwa	33	522	271417	821598	0
Mor Tikri	11	-1	306339	768882	0
Mora	20	17	189086	729299	0
Mora	35	268	228233	880500	0
Mora	33	431	296842	774935	0
Mora	19	509	251171	788006	0
Mora	19	313	246984	804374	0
Mora	13	0	347060	743642	0
Mora	28	263	259914	740528	0
Mora	33	174	275170	775868	0
Mora	19	322	266613	786172	0
Mora	33	492	288937	787385	0
Mora	12	348	327123	763260	0
Mora	28	263	262332	742824	0
Mora	10	177	230704	738504	0
Mora	34	179	300475	796448	0
Mora	34	530	293024	795196	0
Mora	4	495	250342	853612	0
Mora	4	495	253244	855350	0
Mora	4	727	254555	867399	0
Mora Buzurg	20	112	203460	756033	0
Mora Buzurg	4	687	257752	856153	0
Mora ka Khera	28	298	254528	745995	0
Mora Kalan	27	214	317438	746809	0
Mora Kandar	33	621	258759	799878	0
Mora Khap	4	615	261256	846200	0
Mora Khas	4	615	261201	846172	0
Mora Khurd	20	112	203137	756042	0
Mora Khurd	27	214	317485	746847	0
Mora Mardana	4	117	246317	849335	0
Mora Tal	4	117	247056	850213	0
Morab	15	655	155857	751579	0
Morab	15	77	157592	743655	0
Moraba	15	352	148570	764043	0
Morabaria	28	263	262370	742870	0
Morad	12	39	318020	763765	0
Morad	10	205	239672	730118	0
Morad Milik	4	590	259701	875049	0
Moradabad	20	132	212528	772759	0
Moradabad	31	447	180753	789571	0
Moradabad	33	479	259849	830506	0
Moradangi	4	602	255515	878989	0
Moradangi	4	602	255380	879011	0
Moradgarhi	33	613	284623	780155	0
Moradgoravadi	20	206	158724	740557	0
Moradih	4	457	269221	841669	0
Moradih	6	384	229264	842999	0
Moradih	14	276	227655	856691	0
Moradih	25	683	215759	851969	0
Moradihi	6	285	207894	822218	0
Morado	25	305	189837	827428	0
Moragang	3	332	246313	926347	0
Morageri	15	352	150278	760894	0
Moraha	19	497	247460	820398	0
Morahar	4	117	246146	847247	0
Morahe	4	117	246310	852040	0
Morahi	33	102	247125	828862	0
Morahni	12	267	314704	770332	0
Morahni	33	523	277554	779919	0
Morai	19	420	253928	771103	0
Morai	19	420	253033	777374	0
Morai	10	140	231162	734276	0
Morai	10	170	225409	741127	0
Morai	28	263	261679	740560	0
Moraina	33	523	280589	779889	0
Morainia	14	673	243724	842557	0
Morainian	4	117	245855	846074	0
Morairi	33	496	271614	836854	0
Moraj	10	155	224760	726091	0
Morajhari	28	428	263097	749263	0
Moraki	33	174	278816	776627	0
Morakkaniyanur	30	192	124872	793582	0
Morakwadi	20	34	190938	760380	0
Morala	20	65	171824	746961	0
Moralbadha	4	602	257507	878831	0
Moralhia	4	457	269560	846279	0
Moralkottai	30	51	118218	778907	0
Moram	31	346	189623	780958	0
Moram	1	207	131711	786934	0
Morama	4	582	249789	870013	0
Moramadugu	30	215	124818	781222	0
Moraman	1	194	189847	836255	0
Moramba	10	126	215359	740358	0
Moramguda	25	349	189382	837572	0
Moramidipalle	1	190	137631	783922	0
Moramkindipalli	1	45	138368	790949	0
Morampalle	31	60	176325	808130	0
Morampalle	1	190	136846	783637	0
Morampalle	1	190	134021	784216	0
Morampalle	1	207	133515	786380	0
Morampudi	1	308	163524	806289	0
Moramreddipalle	1	190	137168	783008	0
Moramvaripalle	1	195	154662	793970	0
Moran	27	665	323907	757975	0
Moran Gaon	3	433	266901	944156	0
Moran Pipalia	19	326	232039	784446	0
Moran-ka-Rasa	12	39	322150	759882	0
Moranahalli	30	215	124048	781462	0
Moranam	30	192	127596	794851	0
Morand	19	443	215573	779542	0
Moranda	6	517	224848	811871	0
Moranddhana	19	443	219501	775075	0
Moranddhana	19	443	215207	780601	0
Morandhana	19	443	219007	780755	0
Morandi	28	120	267410	761016	0
Morandtola	19	443	215483	779587	0
Morane	20	185	209281	745656	0
Morane	20	185	209078	747177	0
Morane Sandas	20	54	207263	743363	0
Morang	12	409	323191	779551	0
Morang	14	276	224851	851426	0
Morang	14	310	228225	847521	0
Morang	12	83	316015	784495	0
Moranga	6	392	187327	816816	0
Morangam	30	223	114350	780722	0
Morangana	20	141	207273	787231	0
Morangi	4	602	254770	875894	0
Morangi	14	732	239080	854029	0
Morangi	3	709	265797	938171	0
Morangiatalai	19	16	239242	767514	0
Morangna	20	141	209139	784726	0
Morangna	20	132	209183	776866	0
Morangpalli	31	203	174903	778725	0
Morangra	12	348	324561	763716	0
Morangtoli	14	740	234983	848872	0
Moranhalli	15	71	173974	773136	0
Morani	13	485	333611	741829	0
Morani	28	210	268889	719891	0
Morani	19	239	219208	750495	0
Moraniwat	19	153	222796	742519	0
Morankarai	16	148	111422	763066	0
Moranoh	13	529	332759	750968	0
Morantabail	15	248	133460	750524	0
Moranur	15	69	119633	774457	0
Moranwali	27	700	307403	748126	0
Moraon	33	698	258922	809850	0
Morapagunta	1	195	152973	793661	0
Morapali	25	478	212251	838335	0
Morapalli	31	63	188269	788582	0
Morappakkam	30	238	124981	798508	0
Morappampalaiyam	30	227	112022	771718	0
Morappanai	30	5	96087	789342	0
Morappankad	30	51	116418	785469	0
Morappantangal	30	192	127412	792909	0
Morappur	30	109	121261	783932	0
Morappur	30	109	122659	779126	0
Morapur	35	347	240908	877140	0
Morar	12	514	306838	775088	0
Morar	34	-1	306690	777673	0
Morar Bhakua	4	535	265032	861981	0
Morara	28	429	268086	768110	0
Morardhana	19	443	219047	784300	0
Morari Khera	33	301	264499	809725	0
Moraria	19	208	240387	774820	0
Moras	28	23	246784	730918	0
Moras	19	503	228179	791154	0
Morasa	19	153	222442	745393	0
Morasa	19	153	222293	745512	0
Morasai	14	276	225582	857525	0
Morasakkuttai	30	223	113604	778231	0
Morasalapalle	1	426	138597	777779	0
Morasalapalli	15	422	138638	778838	0
Morasanapalli	15	47	135682	782226	0
Morasanapalli	1	207	128482	783807	0
Morasapalli	30	184	129428	787938	0
Morasapatti	30	51	117375	785435	0
Morasappatti	30	109	120884	784010	0
Morasar	10	123	228990	723639	0
Morasarahalli	30	109	120518	778950	0
Morasarahalli	30	109	123300	781707	0
Morasarahalli	30	215	123482	782773	0
Morasavandlapalle	1	426	138590	777652	0
Morasdabad Diara	4	581	254697	858900	0
Morasiya	4	363	254305	845110	0
Moratadu	1	426	144450	779989	0
Moratalao	4	495	252513	855199	0
Moratanr	14	434	240958	863971	0
Moratga	31	32	178752	778109	0
Moratgi	15	80	170068	764170	0
Morath	20	67	197929	777038	0
Morath	4	718	253569	838074	0
Morath	12	39	319882	762778	0
Morath	4	363	254645	845857	0
Morathpalli	6	578	190932	821050	0
Moratoli	20	139	212087	791871	0
Moratoli	14	416	228552	851952	0
Moratoli	14	476	226001	850689	0
Morattuppalaiyam	30	204	113823	776420	0
Moraul	4	136	257116	862503	0
Morauli	4	112	247830	843619	0
Moraun Purwa	33	312	279832	811836	0
Morauna	4	394	252574	842803	0
Morauna	4	410	261706	864231	0
Morauni	33	613	282894	779371	0
Moravabhimaganipalle	1	207	133980	785448	0
Moravakonda	31	306	160083	782620	0
Moravanur	15	-1	129008	783734	0
Moravapalle	1	426	140871	774119	0
Moravapalle	1	190	136200	782301	0
Moravapalle	1	190	137155	783607	0
Moravapalle	1	190	137059	783571	0
Morawa	4	718	251097	834547	0
Morawahi	20	134	199870	803715	0
Morawali	27	284	312423	760523	0
Morawali	27	571	301381	758215	0
Morawan	19	323	255910	771752	0
Morawan	4	567	251623	860116	0
Morawan Purwa	33	522	271484	818635	0
Morawan Purwa	33	522	272192	817113	0
Morawas	28	263	259656	734694	0
Moraya	16	256	119857	753408	0
Morayur	16	148	111340	760174	0
Morballa	4	590	257926	870445	0
Morban	12	348	323522	760210	0
Morbi	12	348	323360	760601	0
Morcha	33	682	275595	791049	0
Morcha	33	682	275068	790984	0
Morcha	33	389	274009	786344	0
Morcha	19	449	231415	808520	0
Morcha	12	39	323196	761952	0
Morcha	14	570	250547	875004	0
Morchaberi	19	317	222590	761344	0
Morchakheri	19	16	238169	769030	0
Morchandi	20	67	195795	780037	0
Morchapur	20	141	207877	786921	0
Morche	35	452	241135	879970	0
Morchhuchha	10	205	241244	731374	0
Morchi	19	325	220209	783926	0
Morchida	20	78	213988	751717	0
Morchina	28	550	251038	738621	0
