Mosli Pt I	3	601	248595	924775	5087
Mosa	20	53	197024	762546	0
Mosa Bigha	4	581	252750	847907	0
Mosabadi	25	423	201270	847407	0
Mosaedpur	4	510	254402	860652	0
Mosahar Kicka	4	569	258925	861594	0
Mosaharia	4	136	258005	862334	0
Mosahebpur	4	394	250152	840079	0
Mosahi	33	621	257040	795681	0
Mosahritola	4	106	249683	855287	0
Mosaipeta	1	219	175060	824914	0
Mosaipur	33	698	258712	809989	0
Mosakavalasa	1	194	187167	831252	0
Mosakavundanpudur	30	204	111696	778019	0
Mosakavundanvalasu	30	227	112445	774082	0
Mosakkudi	30	193	105573	788205	0
Mosakkuttivalasu	30	227	111169	775775	0
Mosal Tonda	6	392	186025	813943	0
Mosalahalli	15	422	134556	780253	0
Mosalamaduvu	30	204	116870	773311	0
Mosale	15	652	133282	760946	0
Mosale	15	652	129013	761436	0
Mosalikhandi	1	176	182021	831797	0
Mosalmadugu	6	577	179576	811190	0
Mosalpur	28	429	268154	769580	0
Mosam	20	134	193167	800500	0
Mosam	31	160	193637	795998	0
Mosambhavi	31	128	175527	791248	0
Mosampur	28	463	279004	767362	0
Mosampur	31	58	184096	783213	0
Mosanabayinahalli	15	74	122344	767465	0
Mosandi	33	31	271742	813348	0
Mosangaon	4	491	261159	877559	0
Mosangi	31	100	168110	791873	0
Mosangigadda Tanda	31	100	165931	790535	0
Mosari	28	463	280877	768461	0
Mosat	35	4	222616	882314	0
Mosat	10	125	221166	740368	0
Mosattai	30	175	114308	793005	0
Mosavadi	30	192	125247	794294	0
Mosavadi	30	192	124937	793122	0
Mosavanipeta	1	453	181805	838688	0
Mosepur	33	575	260375	824387	0
Moseri	30	159	128570	799831	0
Mosh	13	35	333126	761955	0
Moshari	4	581	254019	847997	0
Moshari	4	535	265159	862087	0
Moshettihalli	15	422	134644	776165	0
Moshing	2	504	271841	922212	0
Moshnar	13	0	343402	743095	0
Moshoit	0	-1	81667	935167	0
Moshrat	22	162	255770	925201	0
Mosi	4	106	247578	852875	0
Mosigramo	25	305	188361	824166	0
Mosiligudem	6	577	184459	814602	0
Mosima	4	106	250057	856491	0
Mosima	4	106	249915	856590	0
Mosima Sarai	4	507	251306	851015	0
Mosiputtu	25	305	186276	825542	0
Mosivakkam	30	238	126320	799948	0
Mosla	6	80	188577	809691	0
Moslahpur	33	27	257180	836730	0
Mosmi	19	142	220066	799966	0
Mosotola	14	276	225358	851572	0
Mosotoli	14	416	228227	851130	0
Mosotoli	14	476	227102	844639	0
Mosrah	31	75	186147	779716	0
Mosrah Tanda	31	75	186234	779583	0
Mosran	19	129	223882	747113	0
Mosrupadu	1	258	180706	827846	0
Mossimpur	4	581	254889	853951	0
Most	34	533	292231	801998	0
Mostafa Dangapara	35	347	242748	879335	0
Mostgaon	34	692	298706	797371	0
Mostiguda	25	305	188748	827118	0
Mostiputtu	25	305	189199	826958	0
Mostiputtu	25	305	188377	827463	0
Mostiputtuguda	25	305	187736	826998	0
Mosukudi	30	5	95508	784373	0
Mosur	30	158	130853	797126	0
Mosur	30	158	127758	793104	0
Mosurkhandigai	30	158	130706	797241	0
Mosuru	1	194	184850	831876	0
Mosuru	1	258	175722	816714	0
Mosuru	30	220	132101	795013	0
Mosuruvalasa	1	194	186301	832512	0
Mosurvalasa	1	176	185723	832819	0
Mosuvampalaiyam	30	227	109191	773143	0
