Mothihari	4	382	266486	849166	126158
Motipur	4	381	262527	851608	28572
Moth	33	417	257260	789503	14077
Mota Natava	10	170	231744	740446	6001
Mot	12	39	318304	762337	0
Mot	28	493	239318	738402	0
Mot Bigha	14	732	240189	855541	0
Mota	10	137	211727	730681	0
Mota	19	420	254386	780599	0
Mota	19	420	254306	781331	0
Mota	33	417	253568	785081	0
Mota	19	420	249998	780933	0
Mota	33	370	249887	785453	0
Mota	19	502	233050	794916	0
Mota	13	477	325539	754877	0
Mota	10	133	242086	722813	0
Mota Borida	10	170	231461	740574	0
Mota Chora	28	163	230731	743247	0
Mota Dhang	34	589	297525	784522	0
Mota Jot	33	522	271385	820386	0
Mota ka Guar	28	550	254219	738330	0
Mota ka Gudha	28	550	255160	738592	0
Mota ka Khera	28	298	256290	741265	0
Mota Kalia	10	170	230355	740239	0
Mota Karguda	20	138	189061	776635	0
Mota Majra	11	664	303332	767627	0
Mota Mazra	27	608	305862	766983	0
Mota Natwa	10	170	231606	740303	0
Mota Omar	19	153	224656	744658	0
Mota Purwa	33	654	263010	813364	0
Mota-ka-Bara	28	298	256389	752842	0
Motabadi	25	373	198660	839968	0
Motadhak	33	553	297445	784505	0
Motadoddi	15	603	126802	773014	0
Motadpalli	31	58	182050	783494	0
Motagam	25	349	198472	834838	0
Motaganhalli	15	92	134177	773316	0
Motagaon	28	163	238049	742534	0
Motagaon	28	23	249411	726286	0
Motagapalle	1	207	132292	787425	0
Motagumadpalle	1	212	159677	805840	0
Motaidih	14	628	228895	856924	0
Motain	35	347	242072	879386	0
Motaitoli	14	541	232967	852105	0
Motakabadi	25	349	195186	834738	0
Motakalapalle	1	224	154071	785403	0
Motakampalli	1	207	134060	791025	0
Motakapalli	6	80	188065	804512	0
Motakapalli	15	422	138090	778465	0
Motakapalli	15	422	136478	779645	0
Motakapalli	15	47	130547	784009	0
Motakgura	31	160	193345	793471	0
Motakhera	19	638	244460	791230	0
Motakodur	31	128	175465	790498	0
Motal	13	485	332527	746450	0
Motal	16	233	118198	758640	0
Motala	20	49	206779	762100	0
Motala	28	550	258689	742016	0
Motalagudem	31	60	180242	805876	0
Motalib Chak	4	106	249535	856465	0
Motalkunta	31	448	164479	785040	0
Motalsir	19	326	228747	781691	0
Motamakalahalli	15	422	135976	780716	0
Motan	13	477	324945	756094	0
Motana	19	129	227977	749674	0
Motana Dhani	28	288	282546	755196	0
Motanahalli	15	72	169280	772154	0
Motanahalli	15	92	136560	770000	0
Motanayakanahalli	15	652	126725	762024	0
Motanaza	4	569	261423	863018	0
Motandapalli	1	207	131520	790254	0
Motanga	25	277	207967	853133	0
Motanga	4	582	248817	871398	0
Motanje	4	106	246481	854949	0
Motanjhola	19	142	216625	805270	0
Motanvadi	20	57	158652	742057	0
Motapara	28	163	231675	743233	0
Motapura	19	317	219403	754509	0
Motapuram	31	46	171609	799833	0
Motapuram	6	80	187525	805389	0
Motapuri	33	525	293362	780120	0
Motar	19	576	229159	798849	0
Motaram	31	557	183314	793153	0
Motarga	20	138	186651	775096	0
Motaruchintarlapalle	1	426	142331	773899	0
Motasal	34	589	296023	786920	0
Motasara	6	517	220306	814140	0
Motasuguru	1	-1	154704	769951	0
Motasur	28	296	286465	734336	0
Motata	10	133	241245	725711	0
Motathom	13	36	337069	750866	0
Motatimmahdoddi	15	93	126180	770100	0
Motbari	4	602	257239	879147	0
Mote Ka Purwa	19	638	247345	795246	0
Motedih	4	505	245091	863974	0
Motegani Tanda	31	100	165183	789398	0
Motegaon	20	34	186461	760823	0
Motegaon	20	156	185865	764195	0
Motegaon	20	110	204334	795156	0
Motegaon	19	142	221158	801271	0
Motegaontola	19	142	221125	801326	0
Motegora ka Bas	28	519	284086	751389	0
Motegowdanpalya	15	603	129851	772092	0
Moteh	31	241	171686	798036	0
Motel	28	331	272959	726177	0
Motepur	4	581	255073	849708	0
Moter	25	273	197156	827920	0
Motera	6	490	214077	810400	0
Motgah	4	569	259187	860686	0
Motganhalli	15	603	130045	773122	0
Motganhallipalya	15	603	130005	773111	0
Motgot	13	35	331612	762098	0
Moth	12	514	306788	775173	0
Moth	20	78	208290	752788	0
Moth Colonel Sahib	11	327	292314	760750	0
Moth Rangharan	11	327	292292	760753	0
Motha	19	502	240276	793839	0
Motha	20	132	214001	773728	0
Motha	33	584	249321	821178	0
Motha	4	394	251689	842988	0
Motha	4	734	252273	846828	0
Motha	4	112	249247	846592	0
Motha	15	74	120828	764823	0
Motha Kodsa	20	110	198047	789772	0
Mothabari	35	397	249294	880422	0
Mothadaka	1	308	164710	804028	0
Mothagaon	19	326	230538	786296	0
Mothaha	33	33	256967	827640	0
Mothaha	4	520	259395	847320	0
Mothakapalli	15	71	169551	773842	0
Mothakapalli	15	47	133890	783428	0
Mothakheri	19	311	229331	762113	0
Mothala	10	107	232113	691332	0
Mothalli	15	91	149755	752665	0
Mothalli	15	77	158103	749689	0
Mothan	12	348	324395	763334	0
Mothani	12	279	314438	767923	0
Mothanwali	27	480	307815	751002	0
Mothar	19	325	221357	788883	0
Mothar	19	354	222922	794959	0
Mothar Kalan	19	338	235765	790699	0
Mothar Nayak	19	338	237503	791522	0
Motharnayak	19	338	237439	791346	0
Mothaur	4	535	266137	860304	0
Mothdoas ki Dhani	28	296	285167	739513	0
Mothe	31	557	185450	790850	0
Mothe	31	58	183169	781610	0
Mothe	31	75	187416	784110	0
Mothe	31	63	187878	789356	0
Mother Teressa Rd	15	43	129645	776104	0
Mothey	31	447	181116	786289	0
Mothi	33	278	269618	790464	0
Mothi	34	179	303825	795925	0
Mothi	19	462	251404	790640	0
Mothi	19	338	239634	786858	0
Mothi	28	298	258654	743520	0
Mothi	4	363	253571	843603	0
Mothiapur Bhair Patti	33	531	289282	789570	0
Mothibal Jangal Mahal	4	363	253579	843692	0
Mothikabhadra	25	349	192467	838047	0
Mothimakki	15	59	147631	744983	0
Mothimpur	6	299	214269	820002	0
Mothinpalli	31	447	180652	790020	0
Mothirapuram	30	154	106442	769961	0
Mothiyapura	28	599	265348	773715	0
Mothkanpalle	31	203	171101	775810	0
Mothkapalli	31	203	174382	778087	0
Mothla	19	635	226825	755876	0
Mothogaon	19	503	230355	790580	0
Mothoponkolo	25	373	202857	844347	0
Mothri	33	31	268821	811641	0
Mothri	33	31	268605	813272	0
Mothri	33	688	257684	819966	0
Mothronwala	34	430	302657	780330	0
Mothsara	11	327	292618	755687	0
Mothsara	27	284	319208	755579	0
Mothu	13	289	340485	739290	0
Mothuka	28	463	278151	767782	0
Mothuka	11	741	282900	774598	0
Mothuka	28	113	277393	770331	0
Mothukapalle	1	426	138461	774817	0
