Mulugu	31	218	181910	799430	297671
Mulbagal	15	47	131635	783935	57276
Multai	19	443	217746	782576	29976
Mulamthuruthy	16	173	99003	763870	25852
Mul	20	110	200699	796783	25449
Muluppilagadu	16	256	117979	754511	23709
Mulavukad	16	173	100136	762631	21833
Mulakumud	30	435	82681	772860	19538
Mulgund	15	583	152807	755213	18928
Mulki	15	55	130910	747935	17274
Mullanpur	27	647	308546	756609	16356
Mullanwala	27	545	310619	748228	16183
Mulanur	30	227	107943	777115	15223
Mullassheri	16	232	105333	760858	12165
Mulaikkaraippatti	30	186	85454	777679	11112
Mulaguntapadu	1	195	152641	800196	7145
Mulanpur	27	608	308000	767436	6165
Mulur	15	55	129398	749276	5445
Mullippattu	30	192	126701	792588	4956
Mulakuddu	1	81	179161	834488	4513
Mul	13	651	337740	749068	0
Mul Dwarka	10	135	207628	706665	0
Mul Kot	13	529	332395	751000	0
Mul Warwan	13	35	338016	755702	0
Mula	13	640	332766	750043	0
Mula Gudari	25	373	204706	842583	0
Mula ki Khirkari	19	459	261541	776413	0
Mula Kot	27	214	316527	745429	0
Mula Tanda	31	100	165962	791222	0
Mulabada	27	742	304642	760680	0
Mulabari	4	491	264430	878921	0
Mulabari	4	602	254410	878118	0
Mulaboddavara	1	176	181620	831114	0
Mulachalagam	1	176	184458	832260	0
Mulachel	30	435	82720	773212	0
Mulacheri	30	238	128562	801738	0
Mulad	16	252	115083	757933	0
Muladi	28	428	261185	744206	0
Mulaga	25	349	193686	835159	0
Mulagadde	15	97	135926	755113	0
Mulagakuppam	30	184	131086	792809	0
Mulagalagudem	1	25	173423	815862	0
Mulagalagudem	1	258	174067	817061	0
Mulagalametta	1	258	177133	823796	0
Mulagalampadu	1	25	169345	810622	0
Mulagalampalle	1	25	171918	812308	0
Mulagalapadu	1	258	178076	820324	0
Mulagalapadu	1	194	186306	832648	0
Mulagalapalem	1	258	179528	827612	0
Mulagangal	16	-1	110467	767874	0
Mulaganipalem	1	212	156824	802480	0
Mulagapottai	30	51	116968	776925	0
Mulagapudi	1	259	174211	823873	0
Mulagapudi	1	219	176015	825629	0
Mulagapudi Bennavaram	1	219	176101	825732	0
Mulagarh	33	492	288274	788573	0
Mulagirenahalli	15	246	139923	763711	0
Mulaguda	1	194	188689	837246	0
Mulaguda	1	194	189753	837709	0
Mulaguda	1	194	188899	838042	0
Mulagundam	1	228	156280	774360	0
Mulagunnathukavu	16	232	105969	762097	0
Mulahalli	15	69	117232	764282	0
Mulahalli	15	71	169835	764517	0
Mulahalli	15	72	166325	765496	0
Mulahallidoddi	15	93	126691	770136	0
Mulahna	19	576	234010	800074	0
Mulai Sittilingi	30	109	119063	786301	0
Mulaibellur	30	109	120041	777820	0
Mulaichcholai	30	223	113607	783577	0
Mulaikara	30	186	84036	777828	0
Mulaikattu Rajampalaiyam	30	223	111740	781218	0
Mulaikkadu	30	223	113442	784152	0
Mulaikkadu Sanarkudi	30	186	83710	776787	0
Mulaikkampatti	30	5	94436	783116	0
Mulaikkarai	30	201	85693	780753	0
Mulaikkurichchi	30	223	114304	783940	0
Mulaim Nagla	33	451	279235	795611	0
Mulaimpur	33	626	253156	814598	0
