Mup	20	616	199421	771370	0
Mupa	3	475	253726	931186	0
Mupala	30	114	115275	764430	0
Muparatota	31	717	185882	792911	0
Mupargudem	1	25	172222	813207	0
Mupattadam	16	173	100880	763179	0
Mupawaram	31	100	168534	793610	0
Muphlang	22	162	254073	921825	0
Mupkal	31	75	189126	783582	0
Mupliyam	16	232	103998	763435	0
Muppadigatta	15	375	132439	774485	0
Muppaduvetti	30	158	128954	793444	0
Muppaiyur	30	436	98076	788330	0
Muppakkovil	30	254	109711	793657	0
Muppakunnu	30	114	115770	762780	0
Muppalavandlapalli	1	190	142079	790879	0
Muppalavaripalle	1	6	150362	792545	0
Muppalla	1	10	163198	800927	0
Muppalla	1	195	157431	802015	0
Muppalla	1	10	162439	798406	0
Muppallapadu	1	195	154283	792998	0
Muppanapalli	31	218	185093	803606	0
Muppandal	30	435	82608	775486	0
Muppane	15	333	141245	748043	0
Muppane	15	333	141254	747945	0
Muppanur	30	51	116205	778308	0
Muppanur	30	183	101263	777411	0
Muppapalaiyam	30	223	113288	779686	0
Mupparazvaripalem	1	10	158279	797406	0
Mupparru	1	25	166648	810817	0
Muppateruvu	30	223	113261	778721	0
Muppathuvallaputhur	30	154	107029	769326	0
Muppattankudi	26	437	109225	797546	0
Muppattanpalaiyam	30	223	113832	778474	0
Muppattikottagam	30	230	106518	797536	0
Muppattukkarupananpalaiyam	30	204	112032	778425	0
Muppavaram	1	87	168935	817042	0
Muppavaram	1	212	158452	800529	0
Muppawaram	31	61	179965	793869	0
Muppenhalli	15	603	131024	772530	0
Muppidinarasayyapalle	31	557	186470	790733	0
Muppili	16	232	103914	764088	0
Muppiliyam	16	232	103989	763412	0
Muppireddipalli	31	386	177339	784904	0
Muppireddivaripalli	1	207	137511	790611	0
Muppireddivaripalli	1	207	136862	790300	0
Muppiriya	15	55	126693	754214	0
Muppulakunta	1	99	145606	770418	0
Muppuri	30	197	121895	795877	0
Muppuvayal	30	114	115242	764410	0
