Nagla Ibrahimpur	33	613	283165	778854	0
Nagla Imad	34	574	297798	778355	0
Nagla Imalia	33	445	272046	789322	0
Nagla Imalia	33	644	275748	781067	0
Nagla Imambakhsh	33	593	277367	789449	0
Nagla Imamkhan	33	174	276853	773465	0
Nagla Imarti	34	574	298247	779186	0
Nagla Imilia	33	389	271580	786970	0
Nagla Imli	33	526	269249	776480	0
Nagla Imlia	33	445	273997	790246	0
Nagla Imlia	33	445	273389	790563	0
Nagla Imlia	33	661	272846	794727	0
Nagla Inchha	33	278	268808	789125	0
Nagla Inchhi	33	389	271595	786423	0
Nagla Inchhia	33	644	273565	779162	0
Nagla Ind	33	661	273581	794115	0
Nagla Inda	33	174	275009	777586	0
Nagla Indar	33	526	270697	781943	0
Nagla Indar	33	682	275735	789966	0
Nagla Indar	33	661	273971	794913	0
Nagla Indarjit	33	526	269200	776573	0
Nagla Indi	33	682	274472	787731	0
Nagla Indi	33	278	267156	792668	0
Nagla Indmai	33	389	271296	785189	0
Nagla Indo	33	682	277420	785196	0
Nagla Int	33	526	269116	786091	0
Nagla Isa	33	672	290873	778445	0
Nagla Isan	33	389	274732	785786	0
Nagla Ishringh	28	113	277211	772929	0
Nagla Islam	33	553	295385	782451	0
Nagla Itaura	33	526	270897	779843	0
Nagla Itwari	33	445	273398	791461	0
Naglai	31	160	193534	798724	0
