Nagla Mache	33	445	270015	790653	0
Nagla Machha	33	523	279562	785404	0
Nagla Machhi	33	682	276063	786742	0
Nagla Machhi	33	682	275610	788100	0
Nagla Mad	33	548	270287	795236	0
Nagla Madanpur	33	682	275404	784970	0
Nagla Madar	33	389	273122	786581	0
Nagla Madari	33	682	274615	783049	0
Nagla Madari	33	389	270951	786627	0
Nagla Madari	33	445	272073	788875	0
Nagla Madari	33	445	271031	789739	0
Nagla Madari	33	644	273841	779273	0
Nagla Madari	33	389	274101	785100	0
Nagla Madari	33	445	269826	793196	0
Nagla Madari	33	548	269737	793754	0
Nagla Madaripur	33	613	284995	781697	0
Nagla Made	33	389	270672	786905	0
Nagla Madha	33	451	280874	797010	0
Nagla Madha	33	278	268382	793356	0
Nagla Madhai	33	682	276369	787008	0
Nagla Madho	33	523	278189	778907	0
Nagla Madho	33	523	276566	779687	0
Nagla Madho	33	593	278673	787940	0
Nagla Madho	33	644	277745	780440	0
Nagla Madho	33	526	269060	776661	0
Nagla Madho	33	682	274637	785200	0
Nagla Madhpuri	33	445	271673	791298	0
Nagla Madhu	33	389	272329	787480	0
Nagla Madhu	33	445	272297	792383	0
Nagla Madhukar	33	644	275799	783578	0
Nagla Madi	33	622	281335	785459	0
Nagla Madna	33	389	271958	786183	0
Nagla Magan	33	526	270529	779290	0
Nagla Magnu	33	645	267350	797843	0
Nagla Mah Singh	33	389	271824	786689	0
Nagla Maha	33	445	271988	788543	0
Nagla Maha Nand Gadaria	33	445	272382	789733	0
Nagla Maha Ram	33	389	271311	786370	0
Nagla Maha Ram	33	389	270507	787134	0
Nagla Maha Ram	33	445	270916	788650	0
Nagla Maha Singh	33	526	273329	782562	0
Nagla Mahabir	33	661	272397	796592	0
Nagla Mahadeo	33	548	270314	794841	0
Nagla Mahadev	33	174	274818	776337	0
Nagla Mahadev	33	174	272551	776988	0
Nagla Mahadeva	33	389	273673	785011	0
Nagla Mahajir	33	278	267903	791885	0
Nagla Mahajit	33	389	270089	785359	0
Nagla Mahajit	33	445	270093	788400	0
Nagla Mahajit	33	593	275833	789222	0
Nagla Mahan Singh	33	445	272312	789615	0
Nagla Mahanand	33	445	273156	787589	0
Nagla Mahanand	33	445	273094	788465	0
Nagla Mahanand	33	451	276814	793782	0
Nagla Mahanano	33	526	271053	778598	0
Nagla Maharam	33	526	272762	780485	0
Nagla Maharam	33	389	273841	785219	0
Nagla Mahari	33	644	276804	784973	0
Nagla Mahari	33	593	279469	786045	0
Nagla Mahasingh	33	278	268654	792337	0
Nagla Mahasingh	33	644	276783	784534	0
Nagla Mahasinghpur	33	278	266307	791096	0
Nagla Mahasukh	33	644	274593	781936	0
Nagla Mahasukh	33	682	274758	783296	0
Nagla Mahasukh	33	526	269362	778426	0
Nagla Mahasukh	33	445	273170	787620	0
Nagla Mahauti	33	445	270451	789434	0
Nagla Maheria	33	644	274497	779339	0
Nagla Mahi	33	445	272371	788579	0
Nagla Mahi	33	682	274193	792215	0
Nagla Mahil	33	682	274616	786933	0
Nagla Mahipal	33	645	266105	797949	0
Nagla Mahirji	33	593	276467	787840	0
Nagla Mahmud	33	593	276594	791278	0
Nagla Mahmudpur Jatan	33	644	274930	780222	0
Nagla Mahola	33	278	268567	790089	0
Nagla Mahor	33	526	269839	779165	0
Nagla Mahram	33	593	276410	789312	0
Nagla Mahrpat	33	445	271167	789325	0
Nagla Mahru	33	174	276098	777944	0
Nagla Mahsauna	33	661	274705	792899	0
Nagla Mahtab	33	174	275830	777414	0
Nagla Mahua	33	548	271043	794413	0
Nagla Mahua	33	445	271498	793905	0
Nagla Mahua	33	445	270480	793148	0
Nagla Mahuan	33	445	272598	790050	0
Nagla Mahuan	33	445	273241	792130	0
Nagla Mahuli	33	445	269624	793518	0
Nagla Mahwa	33	548	272024	794997	0
Nagla Mahwawala	33	278	268846	793388	0
Nagla Mai	33	682	275937	787197	0
Nagla Mai	33	523	278946	782032	0
Nagla Mai	33	445	272129	788073	0
Nagla Mai	33	644	273618	779799	0
Nagla Mai	33	682	275398	788614	0
Nagla Mai	33	389	272804	785226	0
Nagla Maik	33	445	270806	794017	0
Nagla Mailu	33	174	275681	778578	0
Nagla Maina	33	174	276470	778291	0
Nagla Mainbojh	33	445	271020	790854	0
Nagla Maiya	33	644	274537	780881	0
Nagla Majhoi	33	174	278587	775561	0
Nagla Majhpur	33	445	271137	789315	0
Nagla Majra	11	88	302857	771526	0
Nagla Mak	33	548	269314	794875	0
Nagla Makand	33	445	272584	791300	0
Nagla Makand	33	445	272475	792346	0
Nagla Makhdum	33	174	273323	777676	0
Nagla Makhia	33	445	270739	790053	0
Nagla Makka	33	548	271496	794310	0
Nagla Makka	33	686	266050	795938	0
Nagla Makora	33	661	274894	793020	0
Nagla Makrau	33	389	273403	786957	0
Nagla Makrila	33	526	270994	779922	0
Nagla Makro	33	526	269079	777110	0
Nagla Makta	33	526	270161	781851	0
Nagla Makund	33	445	269835	790068	0
Nagla Makund	33	445	270513	789408	0
Nagla Makund	33	445	270598	789534	0
Nagla Makund	33	682	275372	789473	0
Nagla Makund	33	389	269720	787669	0
Nagla Mal	33	672	288883	778317	0
Nagla Mala	33	682	276217	789734	0
Nagla Malai	33	445	270750	792257	0
Nagla Malha	33	526	272853	779049	0
Nagla Malhan	33	661	276839	792663	0
Nagla Malhu	33	661	272875	793460	0
Nagla Malian	33	661	272421	796327	0
Nagla Malik	33	278	268948	790791	0
Nagla Malik	33	682	276191	787307	0
Nagla Maliyan	33	174	275806	775640	0
Nagla Malkhan	33	278	269816	791817	0
Nagla Malkhan	33	526	270599	782232	0
Nagla Mallahan	33	174	277443	776690	0
Nagla Mallu	33	526	272058	780789	0
Nagla Mallu	33	661	275934	794293	0
Nagla Malokhar	33	661	272828	794822	0
Nagla Malu	33	644	276082	782023	0
Nagla Maluk	33	661	273047	793062	0
Nagla Maluka	33	174	273738	777315	0
Nagla Man	33	644	275683	782147	0
Nagla Man	33	389	272561	786600	0
Nagla Man Dhata	33	389	270011	787111	0
Nagla Man Singh	33	682	274526	782720	0
Nagla Man Singh	33	389	272332	787202	0
Nagla Man Singh	33	389	271189	785315	0
Nagla Man Singh	33	389	270151	786690	0
Nagla Man Singh	33	523	278640	780964	0
Nagla Man Singh	33	389	271143	787892	0
Nagla Mana	28	113	273094	775312	0
Nagla Mana	33	174	274490	776118	0
Nagla Mana	33	526	271517	777847	0
Nagla Mana	33	661	273906	793385	0
Nagla Mana	33	661	273915	793749	0
Nagla Manakpur	33	278	268581	792435	0
Nagla Manda	33	593	277549	786415	0
Nagla Manda	33	389	272859	786149	0
Nagla Mandak	33	523	280018	776401	0
Nagla Mandha	33	682	273906	782900	0
Nagla Mandhat	33	644	274042	780301	0
Nagla Mandhata	33	445	271071	788034	0
Nagla Mandhati	33	661	272241	793679	0
Nagla Mandhati	33	644	276229	783651	0
Nagla Mandhati	33	389	273146	786213	0
Nagla Manduri	33	644	277208	784865	0
Nagla Mangad	33	445	270203	792583	0
Nagla Mangali	33	445	272359	788407	0
Nagla Mangalpur	33	445	271642	790867	0
Nagla Mangauli	28	-1	270346	776659	0
Nagla Mangli	33	174	273156	778319	0
Nagla Mangli	33	682	275384	789638	0
Nagla Mangli	33	445	272568	787835	0
Nagla Mangupur	33	523	279221	782981	0
Nagla Manhar	33	445	273236	791299	0
Nagla Mani	33	278	268040	791359	0
Nagla Mani	33	644	274054	781345	0
Nagla Mani	33	526	272565	781523	0
Nagla Mani	33	644	276309	779939	0
Nagla Mani	33	445	272464	787656	0
Nagla Mani	33	174	273199	779003	0
Nagla Mani	33	593	276309	789347	0
Nagla Mani	33	445	273946	790718	0
Nagla Mani	33	661	273552	794642	0
Nagla Mani	33	445	273195	787598	0
Nagla Mani	33	644	276195	784516	0
Nagla Mani	33	593	278718	785916	0
Nagla Mani	33	389	272597	785924	0
Nagla Manian	33	526	270938	778845	0
Nagla Manikpur	33	445	270128	788692	0
Nagla Maniram	33	174	273756	777184	0
Nagla Maniram	33	682	274423	787957	0
Nagla Manj	33	445	271997	788409	0
Nagla Manj	33	445	272998	787332	0
Nagla Manjh	33	389	272268	787263	0
Nagla Manjh	33	445	270753	789162	0
Nagla Manjh	33	445	273843	789964	0
Nagla Manjh	33	445	271441	791211	0
Nagla Mankhari	33	661	272483	793796	0
Nagla Manmotia	33	445	270906	793514	0
Nagla Manpal	33	526	270159	778385	0
Nagla Manphul	33	445	270997	789347	0
Nagla Manpur	33	445	273465	788003	0
Nagla Manpur	33	445	272552	788578	0
Nagla Mansa	33	593	277612	789642	0
Nagla Mansa	33	445	271904	787668	0
Nagla Mansa	33	526	271517	777934	0
Nagla Mansahai	33	644	274717	780272	0
Nagla Mansaram	33	644	274519	781567	0
Nagla Manshi	33	116	277354	793223	0
Nagla Mansi	33	593	278529	785322	0
Nagla Mansia	33	686	268308	794747	0
Nagla Mansingh	33	593	276475	789722	0
Nagla Mansingh	33	445	272598	791940	0
Nagla Mansingh	33	389	274198	786161	0
Nagla Mansingh	33	389	273455	785587	0
Nagla Manti	33	661	273367	793559	0
Nagla Manu	33	445	271442	789967	0
Nagla Manu	33	445	270836	790597	0
Nagla Marehla	33	682	273794	788381	0
Nagla Marehla	33	445	273722	788493	0
Nagla Marehla	33	445	272684	788052	0
Nagla Marehla	33	445	273502	788594	0
Nagla Marhai	33	661	273243	793769	0
Nagla Marhaiya	33	389	271764	782238	0
Nagla Marhaiyan	33	445	272151	793191	0
Nagla Marhaiyan	33	445	271878	788689	0
Nagla Marhaiyan	33	593	276418	789139	0
Nagla Marhaiyan Karnatik	33	445	272718	787072	0
Nagla Marhela	33	682	273679	787767	0
Nagla Marhela	33	445	273116	787234	0
