Nagli	28	463	276573	765970	0
Nagli	28	463	274160	765687	0
Nagli	11	88	303698	773120	0
Nagli	28	463	276442	767977	0
Nagli	28	463	275667	768924	0
Nagli	28	-1	276595	769164	0
Nagli	28	463	277115	769069	0
Nagli	33	431	302639	775523	0
Nagli	28	463	273913	769642	0
Nagli	33	553	293009	781854	0
Nagli	33	553	294844	784394	0
Nagli	11	722	280590	774620	0
Nagli Abdulla	33	672	289017	778985	0
Nagli Ajar Salempur	33	672	291824	777730	0
Nagli Asdulla	33	464	288648	785250	0
Nagli Azimabad	33	672	290344	778311	0
Nagli Jaiju	33	553	290584	784916	0
Nagli Jhamawat	28	463	274297	766402	0
Nagli Ka Bas	28	463	274852	767750	0
Nagli Khadar	33	672	291998	780280	0
Nagli Kithor	33	672	288629	779183	0
Nagli Ladon	33	553	293537	785078	0
Nagli Maha Singh	33	525	292482	778495	0
Nagli Mewan	28	463	278560	766623	0
Nagli Sadharan	33	672	292013	777661	0
Nagli Sakpur	33	566	285017	773766	0
Nagli Shaikh	33	464	289474	783782	0
Naglia	33	644	277299	780134	0
Naglia	33	622	281393	785662	0
Naglia Devi	33	622	281426	785475	0
Naglia Gairaula	33	523	279704	776358	0
Naglia Meo	33	464	288690	781839	0
Naglia Parsurian	33	116	280273	792808	0
Naglia Qazi	33	622	282842	783996	0
Naglio Saijadpur	28	463	278635	763301	0
