Nanded	20	138	191602	773150	550564
Nandyal	1	224	154780	784836	211424
Nangloi Jat	8	739	286796	770680	205596
Nandurbar	20	182	213667	742405	111037
Nani Daman	7	728	204143	728324	62000
Nanjangud	15	74	121176	766840	50598
Nangal	27	704	313897	763757	48497
Nanpara	33	282	278646	815004	46280
Nandikotkur	1	224	158567	782657	45343
Nandura	20	49	208342	764592	44419
Nannambra	16	148	109921	759080	40543
Nandigama	1	103	167717	802860	38219
Nangli Sakrawat	8	731	286217	769923	37706
Nanjikkottai	30	254	107293	791425	32689
Nanminda	16	252	114233	758231	27316
Nandgaon	20	54	203068	746550	24209
Nandri	28	331	263116	731009	20827
Nangli	27	214	316863	748875	20440
Nanauta	33	431	297122	774173	18738
Nangavaram	30	427	108692	785392	17629
Nandelav	10	149	217203	729960	13583
Nannilam	30	257	108793	796106	12618
Nangavalli	30	51	117619	778909	10809
Nandgaon	33	174	277110	773865	10449
Nanakwada	10	251	206029	729220	10172
Nanda	20	110	197722	791309	9378
Nandej	10	123	228956	726792	9176
Nandgad	15	77	155775	745690	8837
Nandambakkam	30	159	129780	800678	8540
Nangal Chaudhri	11	667	278928	761121	8538
Nandesari INA	10	157	224062	730952	8290
Nanguneri	30	186	84933	776581	6969
Nanhera	11	664	303192	768480	6035
Nanpur	19	153	222702	745271	5632
Nandkharki	14	387	237823	861922	4427
Nandgaon	20	110	199007	793064	3836
Nangilickondan	30	197	122554	794751	3000
Na Nanayagapuram	30	369	112881	791545	0
Nan	13	485	329933	743453	0
Nan	33	724	286726	777342	0
Nan	34	692	299259	797819	0
Nan Bigha	4	117	246024	848707	0
Nan Chauk	11	482	300434	768382	0
Nan Keri	13	485	329826	743898	0
Nana	28	263	249231	731355	0
Nana	12	514	309768	773508	0
Nana	12	39	321245	760665	0
Nana	28	22	246916	737969	0
Nana Borida	10	170	231511	740609	0
Nana Ghati	12	514	309718	773614	0
Nana Gura	19	153	224053	744910	0
Nana ka Bagh	19	208	235124	777939	0
Nana Kalia	10	170	230442	740149	0
Nanachiwadi	20	52	181665	737995	0
Nanad	20	67	198417	774234	0
Nanadeo Mota	10	140	231648	736906	0
Nanadevi	20	139	211828	793641	0
Nanadharakheri	19	311	229511	762644	0
Nanadigundi	15	333	142742	750570	0
Nanaganda	1	194	188822	837486	0
Nanagani Tanda	31	306	169351	782247	0
Nanagaon	19	16	239601	766795	0
Nanagar	20	17	186653	729900	0
Nanagheri	28	463	280260	768331	0
Nanagwas	28	463	281065	764081	0
Nanah	12	514	306025	773735	0
Nanahar	12	460	309967	774943	0
Nanahiwan	33	196	249607	827457	0
Nanahr	12	39	321202	765941	0
Nanahwat	13	119	344077	745374	0
Nanai	33	116	281329	793834	0
Nanai	4	117	244403	844601	0
Nanai	25	683	214604	849542	0
Nanai Kalan	14	379	243179	845946	0
Nanai Khurd	14	379	243277	845950	0
Nanai Lisra	33	464	285555	782372	0
Nanaikadu Pacheri	30	201	87535	778483	0
Nanaiyan	33	688	260274	816048	0
Nanaj	20	150	185963	753101	0
Nanaj	20	131	178371	758509	0
Nanajpur	31	62	172294	782892	0
Nanak Chak	13	559	325544	747998	0
Nanak Mata	34	617	289467	798111	0
Nanak Nagli	33	464	290411	785264	0
Nanak Pind	27	468	317170	752284	0
Nanakbari	33	492	288018	787267	0
Nanakbari	33	622	285170	789150	0
Nanakganj	33	282	274574	816874	0
Nanakganj	33	659	273727	801533	0
Nanakgarh	34	574	300878	778063	0
Nanakhera	33	116	279180	789418	0
Nanakheri	19	324	246661	773268	0
Nanakkalmedu	30	197	121492	798449	0
Nanakkalmedu	30	197	121488	798505	0
Nanakkonpatti	30	193	105672	785160	0
Nanakkudi	30	5	99191	788928	0
Nanakpali	6	393	212739	830721	0
Nanakpur	13	559	326917	748667	0
Nanakpur	33	431	297780	772160	0
Nanakpur	19	338	242438	789917	0
Nanakpur	33	316	295344	772128	0
Nanakpur	27	624	304559	764490	0
Nanakpur	27	704	309727	765439	0
Nanakpur	33	174	278998	775696	0
Nanakpur	19	395	247454	781665	0
Nanakpur	33	451	277873	798178	0
Nanakpur	19	326	229717	776066	0
Nanakpur	33	451	277246	794288	0
Nanakpur	33	488	272429	808907	0
Nanakpur	19	648	229243	767161	0
Nanakpur	33	686	268743	794562	0
Nanakpur	33	312	278245	804397	0
Nanakpura	27	545	307773	744627	0
Nanakpura	11	482	299436	766280	0
Nanakpuriya	28	339	254093	756661	0
Nanakramguda	31	62	174207	783509	0
Nanakrampet	31	386	179419	785310	0
Nanaksagar	6	393	212002	828613	0
Nanaksahi	33	584	256023	817540	0
Nanaksar	11	425	295213	753303	0
Nanakwadi	20	138	190898	772821	0
Nanakwali Chhanna	27	571	302967	760073	0
Nanal	13	477	323981	756059	0
Nanalkadu	30	201	87006	778441	0
Nanamadai	30	436	97019	787425	0
Nanamau	33	445	273563	790116	0
Nanamau	33	659	273589	801035	0
