Neg Lahr	12	39	318387	763926	0
Nega	12	348	324647	761975	0
Nega Bigha	4	112	247128	845538	0
Negadion ka Khera	28	298	251701	740897	0
Negaia	28	493	234966	737980	0
Negaichi	14	379	243238	852870	0
Negain	14	678	237897	845353	0
Negaladoruvla	1	6	142399	800514	0
Negalala	15	92	135734	771290	0
Negalgona	15	59	144446	746298	0
Neganar	6	578	189482	819019	0
Negandrapuram	1	207	130714	791756	0
Negar	15	59	146481	747051	0
Negar	15	59	144526	747373	0
Negaria	28	302	258709	755066	0
Negaria	33	686	265045	794270	0
Negarle	15	74	121472	767647	0
Negathur	15	74	122078	761633	0
Negavadi	15	333	145102	751913	0
Negavara	15	47	132228	785543	0
Negavara	1	-1	132257	785652	0
Negawan	19	462	246051	787563	0
Negawan	19	503	228699	795511	0
Negawan	19	338	234904	791286	0
Negdiya Bara	28	402	250326	747271	0
Negdiya Chhota	28	402	250323	747387	0
Negere	15	652	127934	760808	0
Negerekoppal	15	652	127902	760773	0
Negeti	25	373	196796	839944	0
Neggalahalli	15	652	126758	763225	0
Neggu	15	59	145680	747642	0
Neghereting	3	433	267333	941167	0
Negiguda	6	578	190944	821013	0
Negimunda	25	478	213604	833079	0
Neginal	12	267	314342	772067	0
Neginala	6	627	204312	817992	0
Neginhal	15	77	157518	747826	0
Negipali	25	380	209205	835257	0
Negipali	25	290	217163	838963	0
Negipali	25	572	210038	826188	0
Negipur	33	488	274205	810512	0
Negiwala	12	514	304834	773964	0
Negla Nabtauli	33	174	278147	777276	0
Neglur	15	91	148951	756080	0
Negria	28	428	257549	740000	0
Negria	28	22	246253	742057	0
Negria	28	302	258314	753611	0
Neguawan	19	638	251004	796096	0
Negulagadupalle	1	221	142185	785371	0
Negura	33	694	254318	833832	0
Negura	33	694	252448	832708	0
Negura	19	646	245083	819352	0
Negurdih	6	669	218142	826550	0
Neguwan	19	338	243421	791443	0
Neguwan	19	509	252558	786732	0
Neguwan	19	638	245230	797949	0
Neguwan Ratan	19	338	234084	789809	0
Negwa	19	338	243604	785331	0
Negwa	19	338	243570	785470	0
Negwan	19	337	236952	803036	0
Negwan	19	337	234633	802922	0
