Neyveli	30	175	116088	794994	179150
Neyyattinkara	16	211	83985	770859	88104
Neyyur	30	435	81983	773038	12917
Neykkarappatti	30	51	116225	781058	12090
Neykkarappatti	30	183	104489	774627	11753
Neykuppai	30	436	102214	785360	7165
Neya	4	106	248979	854865	0
Neyakonam	30	193	102823	787056	0
Neyamatpur	4	117	246884	852625	0
Neydalur	30	254	108372	791844	0
Neydalur	30	427	108102	785258	0
Neydavasal	30	257	108571	794995	0
Neyippillibhagam	16	234	96747	763393	0
Neykarappatti	30	223	111122	781483	0
Neykarpatti	30	223	114056	779180	0
Neykkalinjankottai	30	254	107305	792070	0
Neykkannam	30	254	111553	795009	0
Neykkunram	30	254	108167	793012	0
Neykkunram	30	257	109179	794966	0
Neykkuppai	30	257	108493	795719	0
Neykkuppai	30	257	108262	795166	0
Neykkuppai	30	230	108403	797504	0
Neykkuppai	30	260	108892	786960	0
Neykkuppai	30	254	111387	795277	0
Neykulam	30	260	110566	788397	0
Neykuppai	30	238	125809	799016	0
Neykuppai	30	260	109237	787934	0
Neykuppai	30	255	113617	788687	0
Neykuppam	30	159	127737	798239	0
Neyppattur	30	198	112171	798126	0
Neyvanai	30	376	117605	792393	0
Neyvanam	30	369	112534	791766	0
Neyvanattam	30	376	118138	789763	0
Neyvasai	30	175	113266	795813	0
Neyvasal	30	254	106970	792956	0
Neyvasal	30	193	101647	786787	0
Neyvasal	30	175	113823	791811	0
Neyvasal	30	198	111604	795677	0
Neyvasal	30	51	113507	785566	0
Neyvasal Tenpadi Akkarai	30	254	106886	793178	0
Neyvasalpatti	30	193	103158	788403	0
Neyvattali	30	193	102536	790969	0
Neyvavidudi	30	254	104072	792352	0
Neyvayal	30	5	98680	788922	0
Neyveli	30	220	132101	798984	0
Neyveli	30	260	109674	785471	0
Neyveli	30	220	132589	800912	0
Neyveli	30	260	109068	786247	0
Neyveli	30	193	103468	786548	0
Neyveli	30	193	105999	789170	0
Neyveli	30	175	115346	794803	0
Neyveli Tenpadi	30	254	104253	791457	0
Neyveli Vadapadi	30	254	104287	791566	0
Neyvilakkunedungulam	30	118	96791	782044	0
Neyyadippakkam	30	159	127296	798049	0
Neyyamalai	30	51	117872	784770	0
Neyyurdesam	30	435	81959	772824	0
