Nugahalli Koppal	15	74	123857	769321	0
Nugalagunta	1	207	127239	784069	0
Nuganhatti	15	77	159400	749775	0
Nugarnau	34	430	307271	777540	0
Nugathalli	15	422	134087	777929	0
Nugdipur	33	553	291816	784090	0
Nuggahalli	15	93	125368	767169	0
Nuggahalli	15	74	122805	765236	0
Nuggalapura	15	47	131400	780614	0
Nuggehalli	15	265	141094	759903	0
Nuggi	15	97	135257	754060	0
Nuggihalli	15	652	130101	764766	0
Nuglabpeta	1	453	182638	836878	0
Nuguda	25	399	213935	852917	0
Nuguluppalapadu	1	195	156420	801141	0
Nugumbal	30	238	123438	798904	0
Nugur	1	-1	192169	807230	0
Nugur	31	218	183379	805557	0
Nugur	6	80	192426	807456	0
