Ottapalam	16	253	107735	763776	53792
Ottakkadai	30	264	99580	781886	15152
Ottaikkalmantapam	30	154	108827	769943	12207
Ottapparai	30	204	111783	775812	9493
Ottappatti	30	264	98960	780896	9016
Otta	13	559	328759	749852	0
Ottadippatti	30	183	102792	782768	0
Ottaguda	25	305	188689	824010	0
Ottai	30	197	120077	797257	0
Ottai Alangulam	30	264	98091	780576	0
Ottai Kosu	1	194	189211	833823	0
Ottaikarankudiyiruppu	30	186	83403	776608	0
Ottaikkalanpatti	30	183	103969	778447	0
Ottaikkudi	30	5	94971	784957	0
Ottaikkudi	30	5	95038	787694	0
Ottaikovil	30	238	124900	797444	0
Ottainattam	30	201	89051	778998	0
Ottaipatti	30	118	95194	776879	0
Ottaippatti	30	183	105050	780993	0
Ottaippatti	30	427	107133	782107	0
Ottaippatti	30	427	107478	782943	0
Ottaippuli	30	5	93737	783098	0
Ottaireddiyur	30	260	105445	783108	0
Ottaitalaiyampadi	30	227	112518	773915	0
Ottaittattai	30	230	106702	797812	0
Ottaividu	30	186	82406	775825	0
Ottaividu	30	260	106100	783689	0
Ottaividu	30	436	96414	784331	0
Ottaividu	30	5	92568	785219	0
Ottaiyur	30	427	109299	780760	0
Ottaiyur	30	427	107925	780625	0
Ottaiyur	30	183	106392	780915	0
Ottaiyur	30	223	111136	781978	0
Ottaiyur	30	427	107899	779875	0
Ottakkattuppudur	30	204	112462	774683	0
Ottakkovil	30	369	111892	791121	0
Ottakkovil	30	369	110257	791955	0
Ottakkudi	30	260	108338	787426	0
Ottakkudi	30	5	94680	785127	0
Ottakkulam	30	118	96373	782904	0
Ottakovilpatti	30	264	101807	783446	0
Ottakulam	30	436	98226	784499	0
Ottakulampudur	30	223	112360	781926	0
Ottalpatti	30	427	109379	783300	0
Ottampalaiyam	26	191	118989	797896	0
Ottampatti	30	436	100306	784468	0
Ottanagampatti	30	183	105286	779044	0
Ottanagampattipudur	30	183	105307	778982	0
Ottanattam	30	436	98822	786621	0
Ottanaval Patti	30	183	102408	781651	0
Ottanayanur	30	427	106898	779264	0
Ottangadu	30	257	104894	795460	0
Ottangadu	30	254	103469	792466	0
Ottankaranai	30	159	129283	799674	0
Ottankulam	30	118	95579	783462	0
Ottapalaiyam	30	154	111369	770969	0
Ottapalaiyam	30	227	111755	773404	0
Ottapalam	16	233	117247	763151	0
Ottaparapudur	16	253	108155	768223	0
Ottapatti	30	264	99745	784225	0
Ottapidaram	30	201	89075	780217	0
Ottapilayu	16	528	88535	766753	0
Ottappatti	30	427	107343	784192	0
Ottarajakkapatti	30	183	101944	781844	0
Ottarampatti	30	201	88333	778542	0
Ottavidu	30	257	105251	794402	0
Ottavidu	30	118	95730	777116	0
Ottavidu	30	427	107523	783197	0
Ottavidu	30	5	92937	784869	0
Ottavidu	30	5	92974	784703	0
Ottavidu	30	436	96118	785966	0
Ottavidunattam	30	254	108961	791590	0
Otteri	30	199	130881	802525	0
Otteri	30	238	126637	800910	0
Otteri	30	192	124969	792017	0
Otteripalaiyam	30	184	127663	788701	0
Otterippalaiyam	30	197	118924	795607	0
Ottimedu	30	175	114290	794533	0
Ottimi	25	373	202141	844688	0
Ottivakkam	30	238	126238	799743	0
Ottivilagam	30	238	122792	799453	0
Ottiyanbakkam	30	238	128619	801921	0
Ottiyantangal	30	192	125679	791948	0
Ottukkadu	30	51	118079	782655	0
Ottupara	16	232	106656	762508	0
Ottur	15	333	144182	751049	0
Ottur	16	211	87402	767762	0
Ottuvelangadu	30	227	112237	774187	0
