Palwal	11	722	281447	773255	131926
Palwancha	31	60	175815	806765	80199
Palwal Rural	11	722	281456	773513	23072
Palwa	28	463	272913	766453	0
Palwa	33	698	255451	811947	0
Palwa	33	102	242333	832962	0
Palwa	19	502	232173	793810	0
Palwa	33	698	258470	810263	0
Palwa	14	673	242262	841539	0
Palwa	4	396	250972	871675	0
Palwadi	20	132	210097	780756	0
Palwai	19	153	220984	742461	0
Palwal	13	485	330306	744842	0
Palwal	11	482	299502	768722	0
Palwali	11	741	284331	773590	0
Palwan	13	559	328950	746949	0
Palwana	12	39	320872	762744	0
Palwana	12	39	320756	762920	0
Palwar	19	313	245498	806138	0
Palwar	33	27	257533	832224	0
Palwar Patti	33	479	262719	830127	0
Palwara	33	724	287118	781191	0
Palwara	34	179	300487	796631	0
Palwaran Purwa	33	637	264572	814007	0
Palwarhi	33	516	257541	841595	0
Palwarpur	33	152	267419	825391	0
Palwas	19	303	231516	754181	0
Palwela	31	100	171304	790361	0
Palwi	6	676	201856	807551	0
Palwi	19	153	221146	742427	0
