Panoor	16	256	117594	755784	17438
Panoli	10	149	215312	729644	836
Panod	28	22	243508	741215	0
Panog	12	460	311789	770419	0
Panog	12	514	307339	776233	0
Panog	12	460	310443	771198	0
Panoh	12	279	314098	767505	0
Panohar	27	647	308488	757122	0
Panohera	28	357	249065	761940	0
Panoi	12	460	312253	770250	0
Panokhal	12	653	314271	774548	0
Panol	12	39	320217	763103	0
Panol	10	205	238770	730430	0
Panola	20	138	197717	780212	0
Panola	12	348	325518	761677	0
Panoli	19	630	246606	750575	0
Panoli	12	460	312779	775318	0
Panoli	12	460	309946	773156	0
Panoli	20	110	206163	797673	0
Panoli	13	477	326448	754270	0
Panoli Mendha	20	110	206138	797671	0
Panolu	12	267	315763	768347	0
Panor	12	514	307402	772746	0
Panor	19	635	228033	759785	0
Panor	34	413	295533	795073	0
Panora	20	132	208611	773277	0
Panora	20	110	196347	797786	0
Panori	12	460	314195	776736	0
Panori	19	568	226913	783761	0
Panori	20	169	209484	770398	0
Panori	33	116	282938	789665	0
Panot	4	505	249692	863919	0
Panota	28	263	254562	736797	0
Panota	34	530	292516	796332	0
Panota	33	116	281889	791119	0
Panotar ki Dhar	12	267	312747	771135	0
Panothal	34	692	299948	797111	0
Panothu	16	252	117836	757908	0
Panotia	28	298	258053	748491	0
Panotia	28	550	250481	741983	0
Panotiya	28	550	251933	739895	0
