Pathankot	27	665	322748	756529	174306
Pathardih	14	387	236658	864317	45276
Pathanamthitta	16	216	92667	767833	38285
Pathri	20	151	192588	764341	37648
Pathirappally	16	234	95354	763221	27445
Pathardi	20	150	191728	751743	27211
Patharia	19	502	238992	791939	21026
Pathalgaon	6	384	225566	834636	16613
Pathsala	3	707	265114	911802	11242
Patha Deosar	13	36	336340	750719	9765
Patharia	6	723	220185	818351	6349
Pathar	25	423	196421	851674	6072
Pat-hara	33	280	271030	830500	0
Path	13	485	332796	743281	0
Path	19	443	218908	774629	0
Path	19	646	245524	819360	0
Path	14	712	238370	839276	0
Path	4	136	259016	859370	0
Path ki Garhi	28	599	268625	781394	0
Path Rhauli	33	654	265123	813576	0
Patha	33	370	244993	786796	0
Patha	19	462	246856	788896	0
Patha	33	417	256936	791199	0
Patha	19	638	249250	793976	0
Patha	19	338	235661	785763	0
Patha	19	338	236296	788178	0
Patha	19	338	234127	788317	0
Patha	19	326	232279	785922	0
Patha	19	326	231589	785103	0
Patha	19	325	226142	786667	0
Patha	19	325	221414	787942	0
Patha	19	325	219949	787367	0
Patha	28	487	250503	769473	0
Patha	19	465	259445	782872	0
Patha	19	503	227826	794392	0
Patha	33	278	269352	789470	0
Patha	19	420	254480	773548	0
Patha	33	417	253292	790162	0
Patha	33	417	251823	792377	0
Patha	33	591	254901	798802	0
Patha	19	638	252215	798795	0
Patha	19	502	243072	797373	0
Patha	19	326	232815	780481	0
Patha	33	417	254897	787660	0
Patha	19	512	248673	802297	0
Patha	19	568	229276	784921	0
Patha	19	313	241862	812393	0
Patha	19	461	230327	804107	0
Patha	19	336	239716	809509	0
Patha	19	461	227741	801166	0
Patha	12	267	316076	768541	0
Patha	15	55	130818	748806	0
Patha Arampura	13	573	342218	747729	0
Patha Arampura	13	573	341819	748482	0
Patha Chak	14	570	251415	874481	0
Patha Halan	13	146	334693	753577	0
Patha ka Pura	19	459	265577	782120	0
Patha Kalan	19	338	236558	790103	0
Patha Khurd	19	338	234274	787313	0
Patha Nelavanki	15	47	134704	782699	0
Patha ni Gai	13	485	332077	741015	0
Patha Pachaura	33	370	248657	786614	0
Patha Peresandra	15	422	136022	778004	0
Patha Ponri	19	326	232528	785042	0
Patha Purwa	19	-1	254081	802244	0
Patha Purwa	33	685	268971	810216	0
Patha Vangallu	1	6	145688	799388	0
Pathachaurai	19	461	228962	801306	0
Pathachitola	4	117	245128	852030	0
Pathad	20	78	206081	759438	0
Pathada	19	638	248731	793737	0
Pathada	19	443	215088	778044	0
Pathadeh	19	461	223659	801841	0
Pathadeori	19	354	227014	796461	0
Pathadhana	19	325	220415	789226	0
Pathadimura	6	393	210808	823958	0
Pathado	19	502	234432	796577	0
Pathado	19	502	234378	796716	0
