Pauri	34	589	301529	787771	26514
Pau	12	460	313999	776886	0
Pau	12	460	314055	776866	0
Pau	11	565	306933	770972	0
Pau	12	514	306486	773660	0
Pau	10	170	226834	741029	0
Pau Nagla	33	329	282691	796480	0
Pauan	28	550	249477	735746	0
Pauat	4	394	253075	838767	0
Paubri	12	514	306677	775663	0
Pauchi	12	460	313177	773924	0
Paud	20	52	185240	736153	0
Paud	12	39	321190	763311	0
Paud	12	39	321227	763408	0
Paudhan Rampur	33	575	261764	825034	0
Pauha	33	33	256443	824383	0
Pauha	6	275	209983	814279	0
Pauhali	33	672	290710	776444	0
Pauhan	33	605	266454	821866	0
Pauharia	33	496	270576	837167	0
Pauharia	33	515	263564	836332	0
Pauharipur	33	516	257631	841345	0
Pauhi	14	678	238290	844688	0
Pauinpi	14	276	222839	856469	0
Paujai	34	-1	306497	777816	0
Pauka	25	372	207084	840580	0
Paukhal	34	589	298783	785114	0
Paukhal	34	589	298696	786824	0
Paukheri	19	648	231469	766650	0
Pauki	33	451	280441	796753	0
Pauki Kuia	33	116	280880	791759	0
Paul	12	514	306687	775380	0
Paula	20	182	218877	740324	0
Paula	12	348	328471	760568	0
Pauli	33	698	256678	811004	0
Pauli	33	575	264479	817978	0
Pauli	33	152	267608	824328	0
Pauli Amauli	33	282	275289	817054	0
Pauli Khera	12	460	308849	777755	0
Paulia	28	22	245409	741011	0
Paulidoddi	15	603	126868	772284	0
Paun	33	152	266301	827326	0
Pauna	33	33	257306	827537	0
Pauna	20	110	202431	790864	0
Pauna	33	623	270532	830342	0
Pauna	4	363	254068	846303	0
Pauna	4	535	264103	860067	0
Pauna Chak	20	110	202849	798046	0
Paunali	34	413	296945	793788	0
Paunampalli	31	100	168778	788535	0
Paunan	35	268	229459	882839	0
Paunar	19	325	223265	792725	0
Paunar	19	325	217580	785539	0
Paunar	19	325	219973	787739	0
Paunar	33	444	252979	807265	0
Paunar	20	67	198710	788066	0
Paunar Kalan	19	354	220327	798057	0
Paunar Khurd	19	354	220444	798047	0
Paunara	20	390	214594	796950	0
Paunari	19	325	219692	789487	0
Paunari	19	325	223226	791413	0
Paunarkhari	20	390	215352	797091	0
Paundabar	33	488	274799	806259	0
Paundal Bunhla	12	267	318928	769073	0
Paundal Uparla	12	267	318964	769126	0
Paundan	33	584	254198	821528	0
Paundarikapuram	30	254	109616	794525	0
Paundha	34	430	303776	779798	0
Paundi	19	503	227434	786895	0
Paundi	19	502	236260	798078	0
Paundi Khala	34	430	303972	778106	0
Paundi Khurd	19	337	234900	803227	0
Paundla	12	514	309455	773750	0
Paundnipur	33	553	293456	786547	0
Paundra	33	444	252975	805046	0
Paunera	19	142	217201	799569	0
Pauni	6	611	216597	826935	0
Pauni	20	139	215276	793412	0
Pauni	33	33	257543	829235	0
Pauni	33	694	253170	833537	0
Pauni	4	597	255116	839338	0
Pauni	19	443	217108	780549	0
Pauni	33	196	250728	829720	0
Pauni	33	33	255696	828767	0
Pauni	33	623	270609	830282	0
Pauni	19	142	220469	806932	0
Pauni	20	168	208967	801527	0
Pauni	20	168	208787	804090	0
Pauni	20	134	202775	803320	0
Pauni	19	217	228957	814046	0
Pauni	6	723	220662	815263	0
Pauni	6	299	213927	817805	0
Pauni	4	394	250370	842776	0
Pauni	4	394	251044	840765	0
Pauni	4	535	262365	864168	0
Pauni Kalan	33	102	247250	833220	0
Pauni Kalan	33	479	258106	831010	0
Pauni Khurd	33	102	247221	833216	0
Pauni Khurd	33	479	258016	831041	0
Pauni Rani	33	152	269237	825883	0
Pauni Suchet	33	152	269283	825882	0
Pauni Zabti	33	152	269228	825915	0
Paunia	19	142	217207	797494	0
Paunia	19	503	230220	794261	0
Paunia	19	461	230515	802377	0
Paunian	19	336	235212	807617	0
Pauniya	19	325	219064	791992	0
Pauniya	19	512	240998	798391	0
Paunjer	6	80	187748	809150	0
Paunniya	19	354	220233	796826	0
