Phagwara	27	544	312245	757739	100146
Phaltan	20	64	179911	744318	53202
Phalodi	28	331	271310	723683	49914
Phalauda	33	672	291882	778300	18545
Phaphund	33	686	265989	794644	16675
Phariha	33	389	273217	784727	6380
Pharkian	13	0	345802	740769	500
Phacharia	10	209	209840	712646	0
Phacharia	28	23	248958	726489	0
Phachivadi	20	206	159925	740329	0
Phadal ka Pura	28	429	266069	773294	0
Phadalna	34	413	295214	794888	0
Phadana	12	267	314024	768858	0
Phadaniya	28	321	247043	762742	0
Phadanpura	28	472	280715	749270	0
Phadarpur	4	112	249931	844769	0
Phadarpura	4	112	248508	845274	0
Phadauhr	12	653	313923	775214	0
Phaddupur	33	479	257906	832952	0
Phadehl	12	653	314155	774511	0
Phader	12	267	315266	771686	0
Phadgudia	33	479	260831	828219	0
Phadha	6	279	219658	821915	0
Phadhaunta	12	460	309850	774647	0
Phadial	27	665	323003	757064	0
Phadiali	13	690	327186	750742	0
Phadki	19	449	229980	809571	0
Phadki	19	461	229661	804976	0
Phadna	33	591	254524	795219	0
Phadnapur	33	659	274630	798845	0
Phadni	11	500	282195	767007	0
Phadpura	33	526	269578	776913	0
Phadullapur	33	659	272309	798496	0
Phadullapur	33	659	274222	798287	0
Phadwani	6	723	220970	816344	0
Phadwanikapa	6	723	221023	816255	0
Phadyari	34	489	297291	799114	0
Phag	12	514	307831	773116	0
Phag	4	112	249502	846050	0
Phagah	13	690	326306	749417	0
Phagah	12	460	311888	773000	0
Phagala	12	514	307521	772291	0
Phagan	12	39	318769	763138	0
Phagan	12	267	318721	769535	0
Phagan Majra	27	543	304357	763927	0
Phagania Khet Talla	34	530	293922	793853	0
Phaganie Khet Malla	34	530	293856	793886	0
Phaganwas	28	472	277343	759994	0
Phagar	12	514	305646	774563	0
Phagar	12	348	324712	765832	0
Phagari	12	604	308583	771545	0
Phagarot	13	35	331730	762992	0
Phagatola	19	142	217388	796804	0
Phagauia	33	269	273321	824317	0
Phagauli	33	605	268192	817489	0
Phagera	12	460	311092	770643	0
Phaggu	11	563	297759	751249	0
Phagi	28	120	265801	755569	0
Phagiara	12	267	315500	769792	0
Phagla	27	647	309254	757075	0
Phagla	13	1	336983	742531	0
Phagla	13	640	332738	748776	0
Phagla	12	267	314790	768853	0
Phagla	12	460	310987	770812	0
Phaglatan	12	279	312958	768883	0
Phagmari	14	712	238854	838951	0
Phagmul	13	529	333254	752472	0
Phagna Atanpur	33	661	273292	793772	0
Phagnakhera	28	298	252308	747060	0
Phagnaul	33	682	275651	789456	0
Phagne	20	185	208905	748375	0
Phagni	12	514	306508	774767	0
Phagnutola	19	142	219817	808513	0
Phagoh	12	267	315202	769447	0
Phagola	12	348	324768	759623	0
Phagoli	13	640	333471	746551	0
Phagoli	13	477	324789	757222	0
Phagora	12	604	309966	771436	0
Phagotia Chhana	34	413	298720	792565	0
Phagpere	13	35	333585	757396	0
Phagra	25	305	183772	827770	0
Phagrevadi	20	57	159823	741922	0
Phagri	12	348	324716	761593	0
Phagrog	12	348	327471	760698	0
Phagrotu	12	348	327429	760999	0
Phagrutola	6	455	208700	806508	0
Phagsu	13	358	331312	757695	0
Phagu	35	473	269500	887000	0
Phagu	12	460	310900	773039	0
Phagu	12	604	309025	771720	0
Phagu	12	514	308807	773300	0
Phagu	12	514	307948	772850	0
Phagu	12	514	308518	773430	0
Phagu	12	514	307183	777003	0
Phagu	25	368	220442	856854	0
Phagu Bigha	4	495	252306	856622	0
Phagu Jot	33	496	272121	832399	0
Phagua	33	548	269932	798226	0
Phagua	14	379	242700	845257	0
Phaguar	33	27	258418	836435	0
Phagudih	4	117	244984	843839	0
Phaguia	33	694	252876	832621	0
Phaguia	33	269	275379	821071	0
Phagula	12	267	317123	771877	0
Phaguli	27	665	324054	758269	0
Phaguli	27	665	324052	758432	0
Phagumar	13	35	332398	757885	0
Phagunahta	4	457	272212	842975	0
Phagunda	6	642	207163	814764	0
Phagunhai	33	451	282986	799872	0
Phaguni	12	514	308019	774513	0
Phaguni	4	495	252248	852618	0
Phagupara	6	723	220482	815613	0
Phagupur	33	654	260666	815123	0
Phagupur Bishanpura	33	539	267924	840087	0
Phaguram	6	388	219472	830957	0
Phagurta	12	39	318930	764115	0
Phagurta	12	39	319250	764935	0
Phagutola	4	597	254965	841669	0
Phagutoli	14	310	230190	847041	0
Phagutoli	14	541	230801	849605	0
Phagutoli	14	476	225717	843154	0
Phagutoli	14	476	225629	847704	0
Phaguwal	27	647	309697	758030	0
Phaguwala	27	571	302563	760032	0
Phagwal	12	39	322562	757145	0
Phagwan	13	0	344170	738316	0
Phagwana	12	604	312510	769503	0
Phagwari	13	559	327745	745879	0
Phagwari	13	1	338347	742733	0
Phah Brahman	13	485	331923	743517	0
Phaiapong	0	98	132833	929500	0
Phaibak	21	424	245561	931520	0
Phaigut	12	348	326089	760984	0
Phaikulum	3	-1	254753	934521	0
Phail	12	514	306664	775309	0
Phail	19	30	213878	762783	0
Phail	12	460	310673	771151	0
Phailaha	33	314	265652	835631	0
Phailawa	33	314	268932	833932	0
Phaileng	23	19	239121	929265	0
Phaileng	23	12	236995	924917	0
Phailha	33	314	266633	834813	0
Phailoke	27	250	313388	750014	0
Phailwa	33	152	266543	827275	0
Phailwa	33	152	266734	829060	0
Phailwadi	20	131	175843	762225	0
Phainchari	33	174	275221	776068	0
Phainti	19	334	238545	762441	0
Phaintna	34	413	297830	792741	0
Phaiphengmun	21	421	243403	934573	0
Phairin Bari	27	624	305790	765128	0
Phairin Chhoti	27	624	305764	765067	0
Phairuangkai	23	14	228238	926394	0
Phaish	12	267	314514	770859	0
Phaiya	34	179	306235	795622	0
Phaiya	13	477	325065	752836	0
Phaiya Khera	34	430	308065	778157	0
Phaiyeng	21	401	248452	938226	0
