Puruliya	35	400	233306	863630	122533
Purushottampur	25	423	195202	848851	15366
Puru ka Tanda	33	431	301219	777762	0
Purua	19	576	233255	803894	0
Puruduguda	25	349	195158	838539	0
Purugampatti	30	183	101105	781670	0
Purugmahul	25	290	219511	841583	0
Purugpathar	25	372	207623	840173	0
Purugudavalasa	1	194	186795	831615	0
Puruguntapalem	1	45	141779	800524	0
Puruiya	33	532	263029	826850	0
Purukutia	25	292	204677	851633	0
Purul	21	111	253778	942167	0
Purulia	14	633	243440	876816	0
Purum	19	129	224299	749134	0
Purumbadiha	25	527	203492	845222	0
Puruna Daspalla	25	527	203110	848974	0
Puruna Deogaon	25	368	218711	859804	0
Puruna Kanjiapada	25	292	204023	851564	0
Puruna Mantiri	25	399	207552	844820	0
Purunabhata	25	349	195035	833219	0
Purunagad	25	305	188493	825831	0
Purunagada	25	546	210405	843220	0
Purunagarh	25	399	207910	849816	0
Purunagarh	25	683	215330	847192	0
Purunagodo	25	373	202372	843406	0
Purunaguda	25	108	185547	821438	0
Purunagudemu	25	108	178652	815437	0
Purunagumma	25	273	196589	830935	0
Purunagumma	25	108	183812	821991	0
Purunakatak	25	372	206285	844274	0
Purunapani	25	349	198833	834870	0
Purunapani	25	527	201285	849084	0
Purunapani	25	399	213367	850292	0
Purunapani	25	399	211206	850784	0
Purunapani	25	399	212234	851450	0
Purunapani	25	281	214064	854113	0
Purunapani	25	546	213181	840408	0
Purunapani	25	546	217337	842817	0
Purunapani	25	546	210544	843689	0
Purunapani	25	683	216644	846172	0
Purunapani	25	683	215474	849780	0
Purunapani	25	683	214691	848200	0
Purunapani	25	683	214200	849815	0
Purunapani	25	683	213362	847679	0
Purunapani	25	399	208570	844715	0
Purunapani	25	373	203698	843694	0
Purunapani	25	399	209898	845805	0
Purunapani	25	399	209630	846412	0
Purunapani	25	527	204089	845875	0
Purunapani	25	373	202547	845302	0
Purunapara	25	273	199009	831575	0
Purunapodoro	25	305	186864	829170	0
Purunapoibari	25	527	202614	848505	0
Purunia	25	368	219913	859914	0
Purura Khulen	21	658	244037	939782	0
Purusand	25	703	212046	863723	0
Purusanhalli	15	375	132371	773917	0
Purushanur	30	197	118867	795388	0
Purushotamunipalle	1	195	152543	790169	0
Purushottamapuram	30	215	124961	783381	0
Purushottamgudam	31	730	174053	799504	0
Purushottampur	6	393	214377	828644	0
Purushottampura	28	487	252837	772061	0
Purushottampuri	20	34	192803	761607	0
Purushottapalle	1	87	169064	817114	0
Purushottapatnam	1	87	172524	816634	0
Purushottapatnam	31	46	176592	809132	0
Purushottapatnam	1	10	160868	801494	0
Purushottapuram	1	219	175027	827924	0
Purushottapuram	1	219	176174	829484	0
Purushottapuram	1	453	184677	839481	0
Purushottapuram	1	81	177909	832140	0
Puruskheda	19	239	216778	749835	0
Purusottampur	25	405	216227	872102	0
Purusottampur	25	527	202729	852302	0
Purusottampur	25	277	206055	852191	0
Purusottampur	25	292	204661	850268	0
Purustampur	14	-1	220853	855818	0
Purutoli	14	310	232765	847841	0
Purutula	25	349	197863	835644	0
Puruvakonam	16	211	85587	769949	0
Puruwala	12	514	305127	776848	0
Puruwala	12	514	304671	775679	0
