Rajkot	10	171	222916	707932	1390640
Rajpur Sonarpur	35	4	224382	884321	424368
Rajamahendravaram	1	87	170052	817778	376333
Raj-Nandgaon	6	455	210969	810289	163114
Rajapalayam	30	118	94530	775534	130442
Rajpura	27	543	304786	765928	92301
Rajsamand	28	550	250715	738798	67798
Rajgarh	28	519	286420	753861	59193
Rajgangpur	25	262	222000	845830	51362
Rajgir	4	495	250283	854208	41587
Rajula	10	209	210385	714435	38489
Rajakilpakkam	30	238	129194	801697	37906
Rajpipla	10	245	218667	735000	35392
Rajakhera	28	599	268980	781710	33666
Rajauli	4	106	246449	855003	30170
Rajgarh	19	16	240083	767325	29726
Rajura	20	110	197795	793646	29668
Rajaori	13	485	333753	743092	29486
Rajaldesar	28	519	280285	744744	27419
Rajgarh	28	463	272373	766224	26953
Rajgurunagar	20	52	188667	739000	25146
Rajakheri	19	338	238593	787852	24232
Rajmahal	14	442	250530	878305	22514
Rajpur	19	239	219402	751361	20947
Raja Pur Khurd	8	739	286352	770330	19312
Rajgarh	19	129	226782	749448	17113
Rajopatti urf Kota Bazar	4	560	265841	855051	14631
Rajasingamangalam	30	5	96357	788461	14565
Raja Sansi	27	214	317202	748008	14298
Rajnagar	19	638	248893	799118	14253
Rajim	6	285	209635	818799	14090
Rajapur	33	619	253890	811450	13962
Rajur	20	67	201109	788931	11934
Rajgamar	6	374	223820	828330	11544
Raj Pur Khurd	8	745	284945	771908	11161
Rajapur	20	226	166568	735170	10718
Raja Ranapur	25	527	200617	853436	10001
Rajabhita	14	387	238667	863333	8820
Rajgarh	12	514	308514	773007	3083
Rajani	20	49	200916	764778	607
Raji	27	665	321866	754317	331
Raj	4	136	258284	859215	0
Raj Ahartoli	14	673	240312	844898	0
Raj Baraulia	33	116	281910	788343	0
Raj Bhavan	15	43	129819	775924	0
Raj Bhavan Haryana	5	751	307425	768114	0
Raj Bhavan Punjab	5	751	307389	768118	0
Raj Bihga	4	117	249337	853074	0
Raj Chak	4	581	253611	850481	0
Raj Chat	19	420	256338	781042	0
Raj Ghat	33	242	253235	830262	0
Raj Ghat	33	522	270211	817316	0
Raj Ghat	33	152	267964	824743	0
Raj Ghat	4	457	267433	843259	0
Raj Ghumal	27	355	311372	756873	0
Raj Kanika	25	674	207348	866998	0
