Ramu Chak	27	283	311784	758920	0
Ramu Dih	33	522	273056	821960	0
Ramu Purwa	33	575	261858	821466	0
Ramu Purwa	33	619	252172	813210	0
Ramua	33	605	264665	822125	0
Ramua	14	732	240222	857451	0
Ramua Bara	33	605	264707	822068	0
Ramuadhana	19	325	221049	787754	0
Ramuan Chak	4	117	246089	847947	0
Ramuanpur	33	488	277717	810832	0
Ramuanpur	33	488	276704	812015	0
Ramuanpur	33	282	274984	816272	0
Ramuanpur	33	522	270469	818664	0
Ramuanpur	33	269	277143	821566	0
Ramuanpur	33	595	274331	820698	0
Ramuanpur	33	595	274681	820184	0
Ramuanpur	33	522	271520	820985	0
Ramuanpur	33	522	271377	822308	0
Ramuanpur	33	488	278698	809705	0
Ramuanpur	33	488	275926	807615	0
Ramuanpur Hardo Patti	33	522	272634	820769	0
Ramuanpur Khurd	33	282	275381	813602	0
Ramuanpur Naik	33	522	272838	820886	0
Ramuanpur Raghubir Singh	33	282	271962	815705	0
Ramuanpur Shiam	33	522	271925	820479	0
Ramuapur	33	623	270282	830714	0
Ramuapur	33	312	279507	801688	0
Ramuapur Kalan	33	282	276563	814225	0
Ramubariya	4	597	256064	840563	0
Ramudaiyanpatti	30	193	105888	789738	0
Ramudaiyanur	30	223	111593	781983	0
Ramudat	33	522	272442	819412	0
Ramudhana	19	325	217931	787785	0
Ramudih	4	394	251025	842113	0
Ramudiha	33	314	267407	835901	0
Ramudupalem	1	10	158550	797295	0
Ramuduvalasa	1	176	185963	834483	0
Ramuganivandlapalle	1	190	138082	784537	0
Ramujipura	20	78	212599	760203	0
Ramulabanda	31	100	170743	791866	0
Ramulapalli	31	63	187280	790859	0
Ramulapalli	31	717	184823	793662	0
Ramulapalli	31	557	182917	794910	0
Ramulavedu	1	195	156589	796805	0
Ramulayya Tanda	31	241	169387	798107	0
Ramulpur	33	654	260211	813401	0
Ramun Ruppur	33	553	290992	783988	0
Ramun Tihara	27	284	314687	758308	0
Ramunayudupeta	1	81	180024	834130	0
Ramunghat	33	314	268992	832894	0
Ramunia	4	727	255531	863691	0
Ramunpur	33	623	266648	829449	0
Ramunwala	27	542	305615	751321	0
Ramunwala	27	700	304546	748463	0
Ramunwala Harchoka	27	480	307271	752300	0
Ramunwala Kalan	27	480	307233	752137	0
Ramunwala Khurd	27	480	307347	752220	0
Ramupeta	1	176	180760	833873	0
Ramupur	33	575	262749	819428	0
Ramupura	33	591	251686	796186	0
Ramupura	33	242	253769	830583	0
Ramupura	33	561	253836	825023	0
Ramuramanpur	33	553	293801	787036	0
Ramutol	4	136	258121	858790	0
Ramutola	4	520	257416	849078	0
Ramutoli	14	310	228194	849045	0
Ramuwa Panthuwa	33	698	258748	808332	0
Ramuwal	27	250	311405	746362	0
Ramuwala	33	492	292018	787444	0
Ramuwala	27	214	315928	747797	0
Ramuwala Ganesh	33	492	291692	788709	0
Ramuwan	33	102	246675	829441	0
Ramuwanpur	33	269	271997	824321	0
