Rawatbhata	28	402	249298	755921	37699
Rawatsar	28	467	292672	744029	35102
Rawan	6	365	216841	820874	5100
Rawalsar	12	267	316314	768346	1821
Rawa	11	482	301762	769203	0
Rawa	12	653	314229	774043	0
Rawa	33	672	289695	774908	0
Rawa	11	524	278018	770066	0
Rawa	19	443	217004	780190	0
Rawa	6	374	226327	823814	0
Rawa	12	348	325034	762359	0
Rawa	12	39	322743	763013	0
Rawa	12	39	318446	763242	0
Rawa	12	267	313745	769167	0
Rawa	33	710	260602	792348	0
Rawad	19	635	227120	755834	0
Rawahan	12	604	309433	769118	0
Rawai	33	174	274772	777261	0
Rawai	33	688	257048	814664	0
Rawaich	4	581	254604	855241	0
Rawal	10	157	223546	733484	0
Rawal	10	130	219193	694899	0
Rawal	27	647	307733	759736	0
Rawal	33	27	255379	832522	0
Rawal	27	544	311576	752644	0
Rawal	33	488	277527	809227	0
Rawal Adwar	12	348	327804	760068	0
Rawal Gadarian	27	468	320550	754565	0
Rawal ka Baria	28	428	260348	743677	0
Rawal Kalan	33	329	282961	796246	0
Rawal Kheri	11	482	300527	768569	0
Rawal Mazra	27	704	310216	765707	0
Rawala	20	132	215596	782753	0
Rawaldhi	11	747	286183	762857	0
Rawalgadda Tanda	31	100	166362	794375	0
Rawalgaon	20	132	211428	775241	0
Rawalgaon	20	185	207415	748096	0
Rawali	12	460	313463	774990	0
Rawali	33	553	294491	780734	0
Rawali	14	276	226522	853537	0
Rawali Kudi	19	630	246048	755115	0
Rawalia	10	177	224037	735177	0
Rawaliakhera	10	170	229020	743742	0
Rawalka	28	113	277847	771034	0
Rawalkol	31	300	176580	785251	0
Rawalpalle	31	203	170478	775240	0
Rawalpalli	31	160	191757	799413	0
Rawalpalli	31	90	188331	798947	0
Rawalpalli	31	229	185607	797909	0
Rawalpalli	31	203	174769	777737	0
Rawalpalli	31	203	175399	778639	0
Rawalpalli	31	241	174827	796231	0
Rawalpalli Kalan	31	128	174070	788352	0
Rawalpindi	27	468	320946	753444	0
Rawalpindi	27	544	312920	757927	0
Rawalpindi	27	284	312178	761232	0
Rawalpur	13	588	340219	747961	0
Rawalpur	13	0	343378	743352	0
Rawalpur	13	651	337003	748716	0
Rawalsera	34	413	297401	794803	0
Rawalwas	28	263	257638	734189	0
Rawalwas Kalan	11	327	290768	755778	0
Rawalwas Khurd	11	327	291041	755875	0
Rawan	13	559	328024	744952	0
Rawan	33	458	288708	773330	0
Rawan	6	365	215785	819990	0
Rawan	4	718	250167	836956	0
Rawan	6	627	208147	815428	0
Rawan	27	544	315972	754565	0
Rawan	6	365	213223	823629	0
Rawan	33	488	272592	808344	0
Rawan	33	312	278650	803990	0
Rawan Buzurg	33	622	286750	785179	0
Rawan Dih	33	532	264724	824108	0
Rawan ka Khera	28	550	251035	739990	0
Rawan ka Khera	28	550	252397	740110	0
Rawan Kheda	19	648	234249	770285	0
Rawan Khurd	33	622	286435	784945	0
Rawan ki Dhani	28	472	280073	751177	0
Rawan Raksa	4	675	264722	841634	0
Rawana	34	430	306791	779060	0
Rawana	33	553	291506	781716	0
Rawana	33	531	286171	789485	0
Rawana Haibat	33	553	291582	782905	0
Rawana Kanu	33	531	288773	793216	0
Rawana Muwara	10	124	230898	732984	0
Rawana Shikarpur	33	553	291378	784938	0
Rawanadap	6	374	222724	828051	0
Rawanatoli	14	712	241200	839009	0
Rawanbhata	6	285	208011	822154	0
Rawand	12	604	309087	772114	0
Rawandabri	6	393	211748	823386	0
Rawandigi	6	285	204058	821075	0
Rawangaon	20	138	185195	774115	0
Rawangura	6	275	209137	815166	0
Rawangura	6	627	207927	816086	0
Rawangura	25	297	210850	835914	0
Rawanhar	11	614	298205	765561	0
Rawani	12	460	310187	773254	0
Rawani	33	613	283169	776639	0
Rawani	33	312	278627	803911	0
Rawani Burj	33	613	283133	776525	0
Rawani Rukhi	33	613	286196	781737	0
Rawanian	33	575	259897	824920	0
Rawanipatti Jawahar	33	531	284461	789825	0
Rawanipatti Uda	33	531	284476	789805	0
Rawanipur	33	637	261715	819487	0
Rawaniyan	33	479	257722	828313	0
Rawanjamadho	19	502	240130	796243	0
Rawanka	33	584	253139	819731	0
Rawankheri	19	303	235415	760277	0
Rawankhol	14	476	227530	842713	0
Rawankhondra	6	17	217924	832592	0
Rawankol	20	156	185925	772517	0
Rawankol Tanda	20	156	185913	772577	0
Rawankund	19	449	231506	806201	0
Rawanna	33	531	288651	790141	0
Rawanpipal	19	568	224176	773858	0
Rawanpur	33	553	293820	782293	0
Rawanpur Buzurg	33	431	301215	775194	0
Rawans	12	348	328475	761459	0
Rawansauli	33	431	301218	775948	0
Rawansi	33	488	277237	808310	0
Rawansinghi	6	285	206752	821216	0
Rawansiya	28	487	244953	768267	0
Rawantoli	14	740	234335	847434	0
Rawanwara	19	325	221969	787989	0
Rawanwari	19	443	220279	778330	0
Rawanwari	20	390	210463	797136	0
Rawanwari	20	168	215402	802301	0
Rawanwari	20	134	206692	800503	0
Rawanwari Tola	20	390	210644	797121	0
Rawapur	10	107	235161	690405	0
Rawar	28	331	262038	734863	0
Rawar	12	514	306493	772429	0
Rawar	33	526	270613	782045	0
Rawara	12	267	319569	768516	0
Rawaremau	33	445	271831	793257	0
Rawari	19	484	257542	783444	0
Rawari	34	413	297488	794812	0
Rawarla	12	514	307305	773111	0
Rawaro	19	338	241560	789636	0
Rawarohar	33	278	268314	791726	0
Rawas	6	676	201355	816772	0
Rawas	6	676	201343	816943	0
Rawas Brahmnan	27	543	302839	763825	0
Rawasa	28	115	262981	762059	0
Rawasan	33	724	288261	780740	0
Rawasar	28	296	283515	739544	0
Rawat	34	413	296300	798135	0
Rawat ka Gudha	28	263	256916	738747	0
Rawat ka Khera	28	298	255999	752430	0
Rawat ka Mathara	28	210	273586	714665	0
Rawat ka Pura	19	322	266056	784770	0
Rawat Khera	33	301	264361	809396	0
Rawat Ragra	6	517	219287	813562	0
Rawatan Ka Purwa	19	638	248170	796908	0
Rawatapur	33	688	258374	818271	0
Rawatdandi	33	314	266867	832290	0
Rawathputtu	25	305	187238	827806	0
Rawatkhera	11	327	289843	756818	0
Rawatki	19	459	267187	783206	0
Rawatla	31	75	186068	784856	0
Rawatla Gandi	31	75	185838	785313	0
Rawatmala	28	428	259071	741671	0
Rawatmau	33	479	260285	832363	0
Rawaton ka Gurha	28	263	253742	736118	0
Rawaton ka Khera	28	550	258320	741003	0
Rawatpalasiya	19	317	223467	760805	0
Rawatpar	33	314	266956	831664	0
Rawatpar	33	314	265039	834916	0
Rawatpar	33	314	263894	834541	0
Rawatpar	33	539	267524	840096	0
Rawatpar Amethia	33	515	262336	839734	0
Rawatpar Buzurg	33	314	264152	832305	0
Rawatpar Pande	33	515	262231	839195	0
Rawatpar Raghen	33	515	262399	839848	0
Rawatpara	25	478	214913	836039	0
Rawatpara	6	392	189857	813943	0
Rawatpara	6	392	186967	814635	0
Rawatpara	6	392	189098	815205	0
Rawatpara	6	392	188774	815409	0
Rawatpara	6	578	188562	816542	0
Rawatpara	6	578	189515	816468	0
Rawatpara	25	262	218936	850905	0
Rawatpatti	33	661	273899	794160	0
Rawatpur	13	0	344898	740805	0
Rawatpur	13	573	342181	746745	0
Rawatpur	33	116	277866	793394	0
Rawatpur	33	451	275046	797256	0
Rawatpur	33	278	269834	791486	0
Rawatpur	33	548	268954	796787	0
Rawatpur	33	686	267755	795127	0
Rawatpur	33	645	266288	799849	0
Rawatpur	33	451	277984	797937	0
Rawatpur	33	694	253154	832415	0
Rawatpur	33	698	259090	806017	0
Rawatpur	33	698	259173	806673	0
Rawatpur	33	33	259605	825468	0
Rawatpur	33	33	257598	825682	0
Rawatpur	33	584	253343	821742	0
Rawatpur	33	301	265459	809371	0
Rawatpur	33	301	263520	807731	0
Rawatpur	33	301	262858	808221	0
Rawatpur	33	654	261091	807866	0
Rawatpur	33	698	260726	807584	0
Rawatpur	33	450	264756	802763	0
Rawatpur	33	637	261692	819882	0
Rawatpur	13	76	339830	745622	0
Rawatpur	13	76	339478	746157	0
Rawatpur	13	412	339193	749530	0
Rawatpur	33	314	265381	832783	0
Rawatpur	33	584	253901	817643	0
Rawatpur	33	659	272129	805691	0
Rawatpur	33	659	277329	801429	0
Rawatpur Kalan	19	-1	252659	792925	0
Rawatpur Khalsa	19	-1	250532	793751	0
Rawatpura	28	429	261704	768311	0
Rawatpura	19	323	260309	769625	0
Rawatpura	28	22	245728	740311	0
Rawatpura	33	526	269148	778975	0
Rawatpura	28	599	267663	779363	0
Rawatpura	33	591	252605	796626	0
Rawatpura	19	484	256060	784619	0
Rawatpura	33	417	256223	789941	0
Rawatpura	19	16	235586	768535	0
Rawatsar	28	274	257313	716210	0
Rawatsar	28	519	283805	753602	0
Rawatsar Kujla	28	519	283675	753538	0
Rawatwala	27	545	308879	746556	0
Raweli	6	365	215899	819997	0
Raweli	6	455	210881	810966	0
Raweli	6	275	211129	814929	0
Raweli	6	681	218041	817025	0
Raweli	6	299	211237	815961	0
