Reta	19	338	240986	781715	0
Reta	12	604	309553	768744	0
Reta	33	31	272363	813690	0
Reta	19	335	227586	744439	0
Reta	4	457	267887	843006	0
Retakheri	19	309	232584	763792	0
Retalpadu	1	194	184266	831080	0
Retamunda	25	478	211104	835887	0
Retan	12	348	324327	764952	0
Retana	28	519	285403	747905	0
Retapahari	14	434	242519	863436	0
Retar	34	430	307827	778692	0
Retas Goshain	33	152	268195	824861	0
Retbandvadi	6	577	186716	818570	0
Retem	6	392	186245	814978	0
Retgarh	11	88	301116	771948	0
Retgarh	27	571	302239	760237	0
Retgarh	27	543	301193	761774	0
Retha Dal Singh	33	522	269528	819964	0
Rethal	10	123	228887	721882	0
Rethana	13	559	325548	747932	0
Rethani	19	16	235698	767039	0
Retharanpur	33	31	271668	809505	0
Rethi	33	33	257724	825136	0
Rethna	33	314	268615	832461	0
Retho	12	279	312981	768597	0
Rethoda	28	339	257432	759851	0
Reti	12	514	305726	775350	0
Reti	33	654	262140	812063	0
Reti	33	575	262455	824989	0
Reti	13	477	325129	754277	0
Reti Kalan	33	102	246841	832851	0
Reti Khurd	33	102	246861	832853	0
Reti Nasarganj	33	282	271834	814978	0
Reti Purwa	33	282	274212	814899	0
Retia	20	132	213713	767856	0
Retia Tola	19	461	223881	802143	0
Retibavdi	31	408	173979	784320	0
Retikuntanaikangudem	31	63	190223	790516	0
Retiyakhera	20	132	216586	772638	0
Retki	19	459	260793	775863	0
Retlapalle	1	195	155805	791994	0
Retli	25	349	193644	835473	0
Retpada	20	182	216023	740611	0
Retpur	34	589	301868	788645	0
Rettagunta	1	207	130920	791391	0
Rettaikkudi	30	257	109249	796940	0
Rettaikulam	30	175	114414	796088	0
Rettaippalivalasu	30	204	113056	776890	0
Rettaittiruppati	30	201	86137	779783	0
Rettaiyampatti	30	223	111121	782232	0
Rettaiyurani	30	5	96559	788507	0
Rettakolam	30	158	131358	796273	0
Rettakurichchi	30	175	115680	790312	0
Rettamangalam	30	159	126356	798393	0
Rettambedu	30	220	134289	801687	0
Rettanai	30	197	121953	795526	0
Rettankulam	30	186	84909	778219	0
Rettapalli	1	45	140881	798792	0
Rettappallam	30	369	113412	794299	0
Rettappuli	30	5	93912	782758	0
Rettapudi Pudur	30	51	115905	782686	0
Rettayampatti	30	183	102531	783274	0
Rettikotte	30	109	118812	785673	0
Rettiyapatti	30	118	94147	776513	0
Rettiyapatti	30	193	103071	785631	0
Rettiyappatti	30	236	91258	775753	0
Retuli	25	373	201195	844140	0
Returu	1	308	160043	804417	0
Retwa	33	479	257918	829857	0
Retwagara	33	522	272562	822133	0
Retwala	28	360	297588	737353	0
Retwan ka Pura	19	459	263721	779600	0
Retwara	33	329	288341	795406	0
