Sagar	15	333	141650	750290	54550
Sagauli	4	382	267639	847434	38815
Sagwara	28	493	236795	740201	29439
Sagbara	10	245	215445	737917	4496
Sagalee	2	556	272338	934965	1315
Saga	11	439	297639	768443	0
Saga	28	288	281656	758374	0
Saga	28	163	234429	744144	0
Saga Mota	10	140	231583	736760	0
Saga Pali	33	27	258024	837858	0
Saga Pali Dayal Singh	33	27	257705	837687	0
Sagad	20	616	199147	772720	0
Sagada	20	67	198857	783644	0
Sagadabhanga	25	527	204665	848288	0
Sagadaguda	1	194	185771	838507	0
Sagadatatti	30	264	97763	781606	0
Sagadde	15	333	143034	751419	0
Sagade	15	69	119105	767782	0
Sagadipal	25	399	210972	851058	0
Sagadsai	14	276	221093	859061	0
Sagaha	33	196	249894	829574	0
Sagahan	19	497	247402	819528	0
Sagahan	19	497	247285	819508	0
Sagahi	4	117	246288	848359	0
Sagairi	19	638	250074	800389	0
Sagal	13	690	325160	751522	0
Sagal	27	284	318025	756992	0
Sagalagatta	15	265	144543	762230	0
Sagalavaripalli	15	47	135178	782724	0
Sagalim	14	673	240800	843138	0
Sagalpur	33	329	285072	794287	0
Sagamai	33	445	271650	791093	0
Sagaman	4	106	251064	856767	0
Sagamtanr	4	117	245250	847643	0
Sagamtola	19	217	229150	812210	0
Sagan	13	529	333642	751649	0
Sagan	28	163	232123	741868	0
Saganahalli	15	422	136068	775566	0
Saganara	19	607	243937	825331	0
Saganer	28	298	253744	746688	0
Sagannagudem	31	241	172195	796379	0
Saganphalia	10	140	231002	739754	0
Sagapha	12	653	315500	775576	0
Sagar	19	354	223838	794661	0
Sagar	19	354	222671	794285	0
Sagar	6	279	220677	819935	0
Sagar	20	110	202493	791672	0
Sagar	15	72	166249	768015	0
Sagar	19	326	230700	786136	0
Sagar	19	354	223305	796464	0
Sagar	19	325	218231	791376	0
Sagar	19	354	219017	793652	0
Sagar	19	324	243103	771643	0
Sagar	19	324	242010	770531	0
Sagar	19	395	244337	778389	0
Sagar	4	718	250270	836953	0
Sagar	19	354	226380	794224	0
Sagar	19	325	221132	792881	0
Sagar	6	455	208954	807621	0
Sagar	4	382	264678	849497	0
Sagar	25	292	204628	851416	0
Sagar Chak	19	395	244281	778455	0
Sagar Chotatola	4	117	247100	850993	0
Sagar Churaman	4	382	264397	848242	0
Sagar Garhi	33	659	271544	806641	0
Sagar Khera	33	654	260870	808560	0
Sagar ki Dhani	28	302	261784	753635	0
Sagar Petta	15	265	142072	758163	0
Sagar Raipur	33	561	253335	823928	0
Sagar Rauza	33	280	271427	825843	0
Sagar Sarai	33	688	260011	821086	0
Sagar Sarai	33	116	282759	786761	0
Sagar Semar	33	196	250689	828007	0
Sagar Tal	19	465	262333	781500	0
Sagara	25	372	206894	840325	0
Sagara	19	576	230983	797222	0
Sagara	19	497	247731	813751	0
Sagara	19	497	246369	816716	0
Sagara	19	497	246278	816833	0
Sagara	19	497	247400	819425	0
Sagara	19	512	243428	803442	0
Sagara	33	152	270952	827530	0
Sagara	1	258	183753	828136	0
Sagaram	31	178	177960	795015	0
Sagarampur	4	518	252626	865512	0
Sagarbaba	33	645	264155	799919	0
Sagarbhanga	14	483	241262	869122	0
Sagarbhanga	25	262	219083	852805	0
Sagardah	33	102	243445	828050	0
Sagardighi	35	452	242941	880954	0
Sagardih	14	416	229504	853402	0
Sagardina	4	632	257700	870030	0
Sagardinwa	14	673	240041	839278	0
Sagardinwa	33	152	268917	826209	0
Sagari	19	638	241866	791851	0
Sagari	19	338	241549	787177	0
Sagaria	25	262	219028	853032	0
Sagariyan	19	317	220440	761203	0
Sagarkata	14	276	223129	856811	0
Sagarkata	14	276	223214	856783	0
Sagaron	19	502	241432	794868	0
Sagarpali	6	393	214171	829509	0
Sagarpali	6	393	213044	831660	0
Sagarpali	25	290	217333	837096	0
Sagarpali	25	262	219702	839602	0
Sagarpali	33	516	257561	840960	0
Sagarpar	4	495	253990	854639	0
Sagarpara	6	279	223292	822506	0
Sagarpara	35	452	242455	887005	0
Sagarpata	25	281	212491	859189	0
Sagarpur	4	117	246451	850242	0
Sagarpur	8	691	285921	771056	0
Sagarpur	11	741	282761	773318	0
Sagarpur	33	593	278533	787528	0
Sagarpur	33	561	254007	823612	0
Sagarpur	33	196	252021	825407	0
Sagarpur	33	242	252825	828960	0
Sagarpur	33	654	264408	812843	0
Sagarpur	33	531	286673	789327	0
Sagarpur	33	116	281903	787629	0
Sagarpur	33	605	265236	821176	0
Sagarpur	33	605	265871	822091	0
Sagarpur	33	688	259262	818066	0
Sagarpur	27	468	317175	752661	0
Sagarpur	27	355	310880	756367	0
Sagarpur	4	507	250928	849109	0
Sagarpur	4	112	249396	844868	0
Sagarpur	4	112	249487	845851	0
Sagarpur	4	535	262306	860732	0
