Sajipanadu	15	55	128540	749957	5847
Saja	6	681	216667	813167	5257
Saj	13	485	334591	743398	0
Saj Hajipur	33	445	271037	789276	0
Saja	33	688	256144	815677	0
Saja	6	642	209765	813168	0
Saja ka Sain	34	589	297960	786337	0
Saja Khera	33	31	265760	813630	0
Sajabahri	6	374	224322	824559	0
Sajabara	33	102	244170	827726	0
Sajadera	6	388	220078	829060	0
Sajadpur Gujran	13	559	326625	748000	0
Sajagaja	34	530	292238	797226	0
Sajaghat	6	374	226681	826267	0
Sajaha	19	646	243294	815226	0
Sajahra	33	152	266644	829019	0
Sajahua	33	575	264901	819072	0
Sajai	19	420	250949	776842	0
Sajai Khurd and Kalan	33	33	256422	822933	0
Sajaiya	33	575	262294	820900	0
Sajajbaldi	20	132	213645	773980	0
Sajalgunda	25	372	206856	845408	0
Sajalinghan	19	461	223695	810892	0
Sajamarri	25	305	187543	831092	0
Sajampur	33	575	262295	826423	0
Sajan	27	284	315765	759273	0
Sajan	27	284	315588	758887	0
Sajan	27	284	318129	757375	0
Sajan Bigha	4	117	246583	850382	0
Sajan ka Par	28	274	255457	706698	0
Sajan Majri	11	664	302217	770120	0
Sajanapara	25	527	201821	851636	0
Sajanapur	31	272	168198	774643	0
Sajani	13	690	326255	750029	0
Sajania	19	336	232458	808480	0
Sajankheri	19	208	236690	782470	0
Sajanmau Kalan	19	395	244690	781012	0
Sajanmau Khurd	19	395	244701	780912	0
Sajanpalli	31	58	181830	781215	0
Sajanpara	6	279	222299	820906	0
Sajanpur	34	574	298643	781813	0
Sajanpur	33	575	260405	823196	0
Sajanpur	33	488	275535	808908	0
Sajanpur	28	493	234909	737886	0
Sajanpur	4	136	259556	858259	0
Sajanpur Mathihan	4	520	257596	849938	0
Sajanpura	19	462	251181	792304	0
Sajanpura	28	298	253080	741352	0
Sajanpura	4	569	260078	861382	0
Sajanpuri	28	463	273447	768550	0
Sajansar	28	519	283869	744855	0
Sajanwala	27	355	311092	752619	0
Sajanwan Purwa	33	522	270601	820303	0
Sajanwara	19	354	219415	797660	0
Sajaon	33	515	261766	839325	0
Sajapali	6	17	220935	829987	0
Sajapali	6	279	221873	823931	0
Sajapali	6	669	220455	824713	0
Sajapali	6	611	216207	828675	0
Sajapali	6	279	222651	819832	0
Sajapali	6	393	214246	829938	0
Sajapali	6	285	209376	821637	0
Sajapani	6	374	221444	827833	0
