Sanrha	4	520	257979	847505	11362
Sanri	14	377	236829	855058	6186
San Rohila	25	399	208960	844333	0
Sanr	4	567	249944	860711	0
Sanra	33	451	279466	795927	0
Sanra	33	314	265393	834216	0
Sanra	6	578	193644	820225	0
Sanra	4	117	250614	848120	0
Sanra	4	112	245597	842584	0
Sanra	4	112	245603	842781	0
Sanra Dih	33	694	250994	831800	0
Sanraha	14	379	243080	852115	0
Sanraki	4	718	245661	835899	0
Sanrallabodu	31	60	178248	808484	0
Sanran	34	413	296809	792297	0
Sanrari	33	605	268214	818189	0
Sanre	33	623	269980	831736	0
Sanre	33	623	269988	831785	0
Sanrh	14	732	238268	852445	0
Sanrh Majhgawan	4	106	246845	853650	0
Sanrhail	4	112	246713	845342	0
Sanrhauli	4	106	248420	855092	0
Sanrhwara	4	520	260574	847958	0
Sanri	12	460	308876	776379	0
Sanri	4	112	245612	842514	0
Sanri	14	732	239168	855650	0
Sanri	14	377	235843	856720	0
Sanri	14	541	234946	855421	0
Sanri Kalan	33	33	257857	823372	0
Sanri Khurd	33	33	257777	823357	0
Sanriatanr	14	712	239784	836931	0
Sanrigaon	14	416	228946	853086	0
Sanrkara	6	393	212756	824932	0
Sanrotna	12	348	325548	761843	0
Sanrsa	6	269	236752	836911	0
Sanrut	12	267	315426	771493	0
Sanrwa	33	626	254000	814852	0
