Sapatgram	3	684	263373	901236	12163
Sapotra	28	429	262928	767522	6716
Sap	20	64	175829	742329	3048
Saputara	10	166	205784	737507	2968
Sapa	13	358	330079	757076	0
Sapa	4	590	259297	875640	0
Sapa	4	641	259916	875589	0
Sapada	14	628	231094	859391	0
Sapadaha	14	633	242859	876033	0
Sapadaha Chhota	14	633	242689	875936	0
Sapadhana	19	325	223399	789374	0
Sapadivalasa	25	305	184737	829041	0
Sapadu	1	308	161617	804162	0
Sapaganda	25	373	201704	842438	0
Sapaghara	25	399	208532	847535	0
Sapaha	33	548	269309	796529	0
Sapaha	19	497	248183	814013	0
Sapaha	33	488	277682	811514	0
Sapaha	33	152	266835	827755	0
Sapaha	33	626	255723	815409	0
Sapaha	33	584	255565	816727	0
Sapaha	33	539	269354	838150	0
Sapaha	33	539	267570	839643	0
Sapaha	33	584	252696	817739	0
Sapaha	19	497	248530	811418	0
Sapaha	33	539	267106	840540	0
Sapaha	4	382	267422	848151	0
Sapaha	4	727	254801	866258	0
Sapaha	4	505	246453	864352	0
Sapahachhat	33	688	259578	822323	0
Sapahachhat	33	688	259520	822270	0
Sapahakoili	4	590	254878	871979	0
Sapahana	25	423	200724	844787	0
Sapahi	33	694	250685	832335	0
Sapahi	33	102	247961	826233	0
Sapahi	19	646	244182	820501	0
Sapahi	33	488	271862	808683	0
Sapahi	33	152	270131	828331	0
Sapahi	4	457	272207	843160	0
Sapahi	33	539	267290	841113	0
Sapahi	4	382	266517	848526	0
Sapahi	4	520	261635	847959	0
Sapahi Khurd	33	539	267198	841113	0
Sapahia Khas	4	675	265889	843772	0
Sapahua	4	581	254611	851687	0
Sapai	33	479	259711	831350	0
Sapajhara	25	399	212819	852675	0
Sapakata	25	399	211765	850064	0
Sapal	13	477	323708	753838	0
Sapali	25	290	216752	838642	0
Sapali	25	546	214190	840596	0
Sapalwa	6	374	225389	823230	0
Sapamaran	14	434	244249	859339	0
Sapamarg	13	36	335252	750611	0
Sapamba	25	305	189849	831880	0
Sapambavalasa	25	349	189753	831892	0
Sapamuttu	30	215	124676	783538	0
Sapananji	25	281	214049	854684	0
Sapanbadi	25	373	198099	839932	0
Sapangi	25	373	205639	841240	0
Sapanian	33	102	247018	826500	0
Sapanwali	13	0	346288	741137	0
Sapapar	19	354	219158	794155	0
Sapapar	19	354	221703	794408	0
Sapar	12	-1	306882	771598	0
Sapar	25	373	198990	836314	0
Sapar	28	163	233590	744243	0
Saparai Bininni	1	194	190389	835706	0
Saparam	35	-1	231430	859061	0
Saparam	14	628	230509	858487	0
Saparangtoli	14	740	236581	846102	0
Saparapalli	30	215	128496	780544	0
Saparatipalem	1	258	175501	819565	0
Saparayi	1	258	178348	818771	0
Saparayivalasa	1	194	184091	831307	0
Saparda	4	632	255686	869456	0
Sapari	19	420	250443	783118	0
Saparlamamidi	1	258	181965	823742	0
Saparom	14	541	232398	854086	0
Saparum	14	541	233441	852282	0
Saparyal	12	39	319994	758870	0
Sapat	19	338	237232	789397	0
Sapat	19	317	223780	760553	0
Sapata	19	354	217435	792414	0
Sapatgaon	20	616	198280	768983	0
Sapatimi	24	7	262004	945469	0
Sapavada	10	205	238122	729997	0
Sapawat Tanda	31	100	166096	793950	0
Sapchara	25	273	196458	833057	0
Sapdagar	25	290	216348	838760	0
Sapdahara	14	442	250483	877454	0
Sapdahoni	25	273	199341	833307	0
Sapdarpura Muwara	10	140	232341	733941	0
Sapeda Gun	13	477	325917	753595	0
Sapedarnagar	11	606	283016	767814	0
Sapehr	12	348	324645	760837	0
Sapehta	33	242	253684	828073	0
Sapekhati	24	-1	270799	951787	0
Sapela	12	460	313375	773866	0
Sapera	11	664	303416	769295	0
Saperaguda	1	258	182913	829668	0
Saperu	12	39	321240	765766	0
Sapeskund	25	273	195414	831666	0
Sapetia	28	22	246403	737079	0
Sapgarha	6	384	226404	840939	0
Sapha	33	282	275011	816240	0
Sapha	33	637	262475	818076	0
Sapha	19	497	250577	816104	0
Sapha	4	675	265549	842314	0
Sapha	4	687	257221	853110	0
Sapha Mahdaia	4	381	259700	855623	0
Saphagara	4	410	260423	866795	0
Saphale	20	131	175915	762688	0
Saphatia	19	512	243624	800626	0
Saphi	14	712	242342	835554	0
