Sarva	10	356	222257	714790	0
Sarva	20	185	211333	747885	0
Sarva Budrukh	20	78	205234	751401	0
Sarva Budrukh	20	78	206744	754605	0
Sarva Budrukh	20	78	205594	754114	0
Sarva Budrukh	20	78	208918	752142	0
Sarva Budrukh	20	78	208221	756682	0
Sarva Khurd	20	78	205222	751427	0
Sarva Khurd	20	78	205571	754112	0
Sarva Khurd	20	78	210018	752259	0
Sarva Khurd	20	78	207725	756003	0
Sarva Sim	20	78	208922	752098	0
Sarvad	20	185	210417	747807	0
Sarvadi	20	141	211503	782778	0
Sarvai	31	218	184927	803343	0
Sarvaipalli	31	222	183633	786275	0
Sarvaipet	31	229	186832	802354	0
Sarvakota	1	453	185921	840531	0
Sarvakuhi	19	502	233599	796373	0
Sarvala	10	126	214768	742500	0
Sarvan ki Jhonpariyan	28	339	253044	755707	0
Sarvapalem	1	81	178181	832195	0
Sarvappanayanipeta	1	190	144713	792352	0
Sarvapur	31	61	181463	796510	0
Sarvapuram	31	58	183479	784951	0
Sarvapuram	31	63	186871	789566	0
Sarvar	19	660	231478	773009	0
Sarvar	20	54	205997	740964	0
Sarvarajanpettai	30	175	112969	795834	0
Sarvaram	31	100	170351	794483	0
Sarvareddipalli	1	207	132326	792194	0
Sarvareddiyur	30	51	116304	777670	0
Sarvari	12	653	319608	771112	0
Sarvariankheri	28	550	250030	741103	0
Sarvasamudram	30	118	94569	775531	0
Sarvasamudram Agraharam	30	118	94529	775508	0
Sarvasiddhi	1	219	174686	828316	0
Sarvathi	15	55	130439	752090	0
Sarvavaram	31	241	168876	797962	0
Sarvay	30	51	115675	787090	0
Sarvayagaripalli	1	190	142292	791213	0
Sarvayapalem	1	6	149375	800156	0
Sarvayapalle	1	224	150913	784610	0
Sarve	20	17	182545	729450	0
Sarve	15	55	128114	753208	0
Sarve	15	55	127277	752867	0
Sarvepalli	31	128	174608	791016	0
Sarvepalli	1	6	142922	799725	0
Sarvereddipalla	1	195	152640	790169	0
Sarveshvarapuram	31	241	169243	799964	0
Sarveswarapuram	1	453	183798	836091	0
Sarvireddigaripalle	1	221	148487	788717	0
Sarvireddihalli	15	47	129911	783940	0
Sarvireddipalli	31	557	186312	790737	0
Sarvona	9	24	155849	739698	0
Sarvtodi	15	55	125931	752401	0
Sarvukulam	30	436	96811	785758	0
