Shamli	33	316	294497	773096	97966
Shamshabad	31	62	172519	784184	32583
Shamsabad	33	526	270172	781236	31009
Shamsabad	33	661	275371	794380	25266
Shamgarh	19	558	241882	756390	24637
Shamsabad	19	208	238150	774957	11329
Shamshi	12	653	318664	771472	8870
Sham Churasi	27	284	315003	757492	4426
Sham Bodi	4	615	261905	841588	0
Sham Chak	33	479	259560	832429	0
Sham Dhan Purwa	33	522	272141	817612	0
Sham Nagar	27	214	317650	750333	0
Sham Sheri Purwa	33	488	274883	811828	0
Sham Singhwala	27	545	307937	745141	0
Shamabad	4	495	252645	855241	0
Shamaguri	3	684	264099	899074	0
Shamahan	12	514	306050	776938	0
Shamaila	12	514	306543	774557	0
Shamaila	12	267	314180	769628	0
Shamailpur	27	355	310327	755012	0
Shamal	12	514	305860	777391	0
Shamalang	12	267	319771	769325	0
Shamalipura	19	317	218039	758639	0
Shaman Khan Kah	27	3	304812	740501	0
Shaman Khanqah	27	3	304487	740959	0
Shamand	12	267	313572	771193	0
Shamangara	4	117	246860	851617	0
Shamani	12	653	315026	775392	0
Shamapali	25	683	212631	846024	0
Shamapur	8	737	287476	771451	0
Shamasettihalli	15	47	128474	780014	0
Shamashgarh	19	326	235089	784364	0
Shamashpur	13	146	337563	750873	0
Shamashpur	4	602	255633	879737	0
Shamashpur Kalan	33	431	298894	772999	0
Shamashpur Khurd	33	431	298941	773003	0
Shamaspur	33	659	271657	803023	0
Shamaspur	11	439	298811	771483	0
Shamaspur	11	482	299771	767298	0
Shamaspur	8	755	286145	772876	0
Shamaspur	19	638	251623	803030	0
Shamaspur	33	33	258334	827193	0
Shamaspur	33	553	292969	783743	0
Shamaspur	33	553	292866	783902	0
Shamaspur	33	492	285616	787891	0
Shamaspur	33	688	256096	815720	0
Shamaspur	33	523	280468	774920	0
Shamaspur	4	687	258229	854584	0
Shamaspur	4	727	254663	866138	0
Shamaspur Kalan	33	431	299968	773216	0
Shamaspur Majra	11	586	284824	765988	0
Shamaspur Malik Fatta	33	116	282251	786419	0
Shamaspura	4	520	259084	849616	0
Shamaspura	4	520	260437	847543	0
Shamaspura	4	687	258895	852127	0
Shamaspura	4	687	257714	854823	0
Shamathla	12	460	313357	775023	0
Shamatola	20	134	206736	803187	0
Shamaun	12	514	309274	773665	0
Shambelli	15	167	181283	774669	0
Shambetivaripalem	1	212	158959	805346	0
Shambewad	15	80	171425	763831	0
Shambhargaon	20	138	190362	773549	0
Shambharpur Sheoli	33	645	265460	799859	0
Shambhd Khera	33	659	271737	805144	0
Shambhu Brahman	33	522	268627	821081	0
Shambhu Chak	33	584	252776	821449	0
Shambhu Chak	4	581	253330	849697	0
Shambhu Khera	33	301	265568	807520	0
Shambhu Khera	33	301	265374	807869	0
Shambhu Khera	33	301	265377	808980	0
Shambhu Khera	33	654	264181	811106	0
Shambhu Purwa	33	595	276473	819892	0
Shambhu Purwa	33	659	273220	801478	0
Shambhu Tara	33	282	274480	817727	0
Shambhu Tikri	33	282	274469	817675	0
