Shujalpur	19	309	234067	767098	51225
Shuganu	21	172	242955	938737	5132
Shugu	12	409	325067	770481	33
Shual	12	460	309200	776559	0
Shuala	12	460	308902	775314	0
Shuangarin	13	146	336183	751923	0
Shuas	13	35	331593	762981	0
Shubbadhra	28	487	252503	771974	0
Shubhkhera	12	514	304488	776282	0
Shubhnath	19	497	250535	815690	0
Shubhpur	8	753	287544	772459	0
Shudhia	4	718	251837	834691	0
Shudi	17	8	346369	764299	0
Shudkain Kalan	11	353	295625	762024	0
Shudkain Khurd	11	353	295808	762367	0
Shudnipur	33	33	256301	826397	0
Shudnipur	33	479	260876	828567	0
Shudnipur	33	479	261203	830287	0
Shudnipur	33	686	266302	793346	0
Shudnipur Khurd	33	584	253817	819675	0
Shugapuram	16	148	107796	760143	0
Shuha	19	497	247639	819483	0
Shuhkishala	31	100	166110	791896	0
Shuhlu	12	267	312712	770793	0
Shuidat Chhapra	4	675	264931	840094	0
Shujaatganj	33	593	278271	785948	0
Shujaatnagar	33	389	272517	782820	0
Shujaatpur	33	488	274499	812114	0
Shujaatpur	33	282	276269	816208	0
Shujaatwala	27	647	309809	758776	0
Shujabad	33	694	253188	830527	0
Shujaet	33	516	257287	839841	0
Shujaganj	33	605	268216	817543	0
Shujaitganj	33	654	263743	812653	0
Shujalpur Mandi	19	309	233844	767201	0
Shujaniapur	33	659	275807	798963	0
Shujaoli	33	593	279464	787208	0
Shujapur	33	523	279642	779622	0
Shujapur	33	613	284439	778621	0
Shujapur	33	613	282628	779760	0
Shujatipur	33	488	272671	809263	0
Shujatpur	33	389	274022	786518	0
Shujatpur	33	479	259084	829704	0
Shujatpur	33	672	292424	780509	0
Shujatpur	33	622	285697	784710	0
Shujatpur	4	507	250948	851057	0
Shujawalpur	33	593	277391	789376	0
Shujawalpur	33	488	274664	808054	0
Shujayatganj	33	116	280378	788272	0
Shujayatganj Bela	33	116	280179	787767	0
Shukain	12	348	325785	761346	0
Shukal Patti	33	564	261030	837697	0
Shukal Purwa	33	282	278183	813379	0
Shukalpur	33	301	264369	805002	0
Shukalpur	33	282	275785	813784	0
Shukalpura	19	449	228700	812988	0
Shukalwa	33	282	276315	813751	0
Shukartal	33	431	299220	772774	0
Shukartar Bangar	33	525	294811	779876	0
Shukartar Khadar	33	553	294872	779908	0
Shukartari	33	525	294973	779638	0
Shukaru	13	651	337538	747167	0
Shukarullahpur	33	661	274523	794672	0
Shuken	12	460	311295	772845	0
Shukheda	19	547	236755	749508	0
Shukiani	12	348	328348	760987	0
Shukla	33	196	251346	825806	0
Shukla	33	492	289532	786609	0
Shukla ka Pura	33	33	257975	822226	0
Shukla Khera	33	301	263304	807653	0
Shukla ki Mandaiyan	33	492	289491	786587	0
Shuklabhata	6	627	207556	818798	0
Shuklabhata	6	365	216929	821593	0
Shuklan	33	688	258316	821144	0
Shuklan	33	688	260361	819243	0
Shuklan ka Purwa	33	688	258390	815435	0
Shuklan ka Purwa	33	688	257636	815595	0
Shuklan ka Purwa	33	688	257407	815225	0
Shuklan ka Purwa	33	444	252410	805656	0
Shuklan Purwa	33	522	270133	818601	0
Shuklan Purwa	33	626	254556	814781	0
Shuklapur	34	430	303165	779382	0
Shuklapura	19	322	266844	785770	0
Shukra	13	358	330096	759150	0
Shukra	12	348	327504	760878	0
Shukrauli	4	675	265340	841496	0
Shukraulia	4	597	254657	839159	0
Shukrawara	19	323	257434	773048	0
Shukrawasa	19	311	227752	761986	0
Shukrehia	12	348	327528	761858	0
Shukriali	13	529	333263	753848	0
Shukritola	14	379	241488	848460	0
Shukruddinpur	33	312	279287	800554	0
Shukrullahpur	27	608	307504	765682	0
Shukrullahpur	33	445	270006	788225	0
Shukrullahpur	33	654	258713	813610	0
Shukrullapur	33	116	280561	788036	0
Shukul	33	522	270913	816559	0
Shukul	33	269	271591	822500	0
Shukul	33	152	269189	823984	0
Shukul	33	532	263891	824225	0
Shukul	33	314	263898	834125	0
Shukul	33	282	275681	814605	0
