Solan	12	604	309091	771087	40283
Solsumba	10	251	201575	727891	18796
Solap	35	538	221278	881586	13751
Solim	9	24	156152	737674	10936
Solakut	13	0	345391	742553	3973
Sola	13	690	325637	752454	0
Sola	14	673	241200	841760	0
Solabandha	25	292	204211	851675	0
Solabham	1	258	179735	825838	0
Solabommenahalli	15	246	140872	766026	0
Solabu	1	258	176676	822582	0
Solacheri	30	236	89741	775127	0
Solachur	30	180	124360	784586	0
Solag	12	279	313549	768334	0
Solagadia	25	423	200959	845298	0
Solagamputtu	1	-1	183203	823913	0
Solagamputtu	1	258	184342	824772	0
Solagaon	25	292	205214	859803	0
Solagaon	25	277	210910	853114	0
Solagaria	35	347	241160	875887	0
Solagaria	14	633	246480	877780	0
Solagora	25	373	204063	841330	0
Solaguda	25	373	200652	839107	0
Solaguda	25	373	202125	841258	0
Solaguda	25	373	201815	841704	0
Solaguda	25	373	203346	842984	0
Solaguda	25	373	203489	843308	0
Solahala	25	580	199720	857526	0
Solaheri	28	487	247684	767037	0
Solahpur	4	505	249715	858600	0
Solai	25	399	216652	852323	0
Solaiarugavur	30	192	124505	794443	0
Solaikhamar	25	281	216105	855932	0
Solaikkadu	30	183	103361	777513	0
Solaikkadu	30	223	113061	783581	0
Solaikondampalaiyam	30	175	118078	795881	0
Solaikudiyiruppu	30	201	84837	780085	0
Solaikuppam	30	238	125273	801431	0
Solaimadam	30	197	120934	795413	0
Solaimalaiyanpatti	30	201	91467	782188	0
Solaimatti	30	260	113002	786242	0
Solaimudi	30	436	97088	786780	0
Solaiseri	30	118	94188	775035	0
Solaittandavankuppam	30	-1	119532	798380	0
Solaittevanpatti	30	189	98936	774914	0
Solaiyammapatti	30	260	104078	784982	0
Solaiyampalaiyam	30	204	115409	776466	0
Solaiyappakavundanpudur	30	227	109522	773951	0
Solaiyur	30	180	125815	785748	0
Solaiyur	30	154	111493	768115	0
Solaiyur	30	436	97479	786524	0
Solakalipalaiyam	30	204	110613	779032	0
Solakallpalaiyam	30	204	110682	779081	0
Solakavundanpatti	30	118	95990	780045	0
Solaki	28	22	248019	735337	0
Solaki ka Gudha	28	550	254458	739076	0
Solakkappatti	30	215	122753	785030	0
Solakkur	30	175	113205	795911	0
Solala	13	1	335098	741854	0
Solalattur	30	204	116415	772664	0
Solamahu	20	132	213414	773767	0
Solampatti	30	193	102628	787204	0
Solampatti	30	260	110170	784316	0
