S. Rayavaram	1	219	174546	828062	6568
Sravana Belgola	15	652	128574	764889	6485
Sradeju	25	373	203200	841911	0
Sradipanga	25	373	203496	840035	0
Srahan	12	460	313353	773832	0
Sraki	25	373	204691	840978	0
Srakipara	25	373	203389	841886	0
Sramabadi	25	373	203391	844769	0
Sramabadi	25	373	201887	845493	0
Srambe	16	233	118045	760928	0
Sramburaha	25	373	202839	840673	0
Sramu	25	373	198502	838070	0
Srangararayapuram Agraharam	1	194	186529	836574	0
Srangus	13	146	338363	752488	0
Srapur	33	659	272710	805019	0
Srasananda	25	373	203801	841873	0
Sravanagudi	15	92	138598	772435	0
Sravanahalli	15	93	127257	763531	0
Sravandanahalli	15	92	136849	774258	0
Sravaneri	15	652	128721	764238	0
Sravanur	15	652	127410	763289	0
