Undera	10	157	223484	731331	16902
Undabanda	1	99	149582	771920	0
Undadi	15	248	137475	747097	0
Undahalli	15	97	130911	756345	0
Undakudi	30	436	95709	786814	0
Undal	12	460	314152	777208	0
Undal	28	321	245348	761051	0
Undangaon	20	112	204570	756632	0
Undani	33	389	270859	784867	0
Undar	10	170	227167	741276	0
Undar	19	129	225798	749252	0
Undar	15	55	128989	751352	0
Undara	10	177	230815	736908	0
Undarappatti	30	227	106501	775342	0
Undari	20	67	204133	786248	0
Undari	19	153	224557	745950	0
Undaria	28	163	232028	746056	0
Undariguda	25	305	188151	823421	0
Undarni	20	67	200526	782231	0
Undaro	14	434	242148	862040	0
Undarpatti	30	183	104606	779705	0
Undarpur	33	451	277418	799745	0
Undarthal	28	263	253010	734096	0
Undartola	19	142	214458	805342	0
Undarwadi	20	151	189550	766590	0
Undasingi	1	258	180367	825587	0
Undavadi	15	74	123713	763650	0
Undavadi	15	74	124053	765580	0
Undavalli	1	308	164957	805857	0
Undavelli	31	295	159450	780420	0
Undawa	19	446	223398	769902	0
Undehalli	15	583	150650	755285	0
Undel	19	202	219374	765654	0
Undel	19	635	226290	760764	0
Undel	19	311	224836	766254	0
Undera	33	526	270695	777031	0
Undera	31	717	187941	792953	0
Underagaor	20	48	179965	762467	0
Undey	31	447	180510	787007	0
Undhal	19	446	224450	768413	0
Undhan	14	276	223761	851877	0
Undi	1	307	165854	814621	0
Undi	13	0	344689	739216	0
Undi	33	174	277092	775608	0
Undi	33	242	254073	829423	0
Undial	31	306	164350	777571	0
Undiganalu	15	652	132562	761257	0
Undiganattam	30	215	127100	782039	0
Undih	33	637	263296	814010	0
Undipatti	4	410	262003	867962	0
Undirgaon	20	150	196780	747066	0
Undirgaon	20	141	206169	791026	0
Undirgaon	20	110	196266	796977	0
Undirkhed	20	132	206137	776825	0
Undirkheda	20	78	208526	750848	0
Undirkhera	20	141	206543	790059	0
Unditalai	28	22	246268	739754	0
Undithal	28	22	245810	734932	0
Undiyampatti	30	183	105050	781629	0
Undla	33	522	272764	817276	0
Undla	33	329	283166	794927	0
Undli	19	129	223346	748437	0
Undni	20	78	208505	750872	0
Undog	13	477	326741	757194	0
Undohal	13	359	326885	751809	0
Undokhal	19	129	227432	748859	0
Undra	28	113	271986	776338	0
Undra	10	140	231414	734817	0
Undra	28	23	248408	730075	0
Undragedda	25	305	182796	826299	0
Undrai	28	550	254796	738374	0
Undraidoddi	15	50	161440	774761	0
Undrajavaram	1	87	167891	816981	0
Undrajola	1	453	187439	838915	0
Undrakachh	19	446	223353	772953	0
Undrakonda	31	241	171042	797004	0
Undrakonda	25	108	180993	816511	0
Undrapudi	1	68	162821	809676	0
Undrapur	33	27	256962	832674	0
Undri	28	22	245029	736206	0
Undri	28	22	244753	736140	0
Undri	6	634	200166	816147	0
Undri	20	138	185963	772827	0
Undri	20	138	185935	774847	0
Undri	20	127	205933	774917	0
Undri	20	139	209998	792078	0
Undri	33	575	261853	824807	0
Undri	19	153	221300	742308	0
Undri	28	428	258532	752182	0
Undri Purwa	33	575	261800	824787	0
Undrioveti	12	460	312611	776864	0
Undrukha	33	575	261531	825441	0
Undu	28	274	263314	716731	0
Unduda	14	276	225344	852229	0
Unduda	14	276	221191	859245	0
Undukutti	30	5	95675	784019	0
Undura	33	564	261724	836402	0
Unduru	1	259	170412	822017	0
Undutla	1	224	156020	783334	0
Undwa	19	-1	245847	758829	0
Undwa	28	402	251330	745932	0
Undwa	33	637	262958	814514	0
Undwa	19	635	224352	756325	0
Undwa	33	654	260642	813241	0
Undwa	19	335	230426	749837	0
Undwa	10	125	221186	740223	0
Undwa	19	202	221095	766513	0
Undwa B	19	153	223374	743789	0
Undwa C	19	153	223468	743957	0
Undwa Muwara	10	140	231629	739751	0
Undwar Kala	12	-1	318395	759588	0
Undwaria	28	23	246286	728959	0
Undwaria	28	23	247089	727257	0
