Uniara	28	302	259150	760260	12551
Uniara	28	302	261534	752152	11441
Uni	28	487	251417	769122	0
Uni	28	321	244229	765960	0
Uni	19	324	242162	772315	0
Uni	6	279	221348	823830	0
Uni	12	39	322319	762517	0
Uni	34	589	301885	787666	0
Uni	34	179	300429	795952	0
Uni	34	413	295962	794205	0
Uni Nibi	33	694	251532	833450	0
Unian Kalan	33	488	277025	808291	0
Uniar	33	605	266355	824361	0
Unidih	14	541	233027	854305	0
Unikacherla	31	61	180174	794715	0
Unikel	14	476	226895	848935	0
Unikili	1	25	165276	811090	0
Unira	33	488	273227	810926	0
Unisenattam	30	215	126299	776532	0
Unisetti	30	215	124290	778532	0
Unisetti	30	215	126214	780177	0
Unisinahalli	30	109	121611	783205	0
Unisinahalli	30	109	120594	782868	0
Uniwalia	28	331	267526	722047	0
Uniyal Khil	34	589	296707	789274	0
