Unnao	33	301	265471	804878	161671
Unnamalaikadai	30	435	82996	772406	23656
Unnakkurumbi	30	193	102245	789921	0
Unnamalaichettichavadi	30	175	117722	797383	0
Unnamalaipalaiyam	30	192	120735	789743	0
Unnamandal	30	197	124007	793037	0
Unnanadka	16	294	126156	751017	0
Unnangulam	30	186	85159	777098	0
Unnapallampudur	30	204	112517	777987	0
Unnattuppalaiyam	30	427	110224	779560	0
Unnaur	33	698	260190	808403	0
Unnava	1	10	161774	802754	0
Unnawaram Tanda	31	240	177019	797081	0
Unnenahalli	15	652	128354	762755	0
Unnikulam	16	252	114450	758849	0
Unniyur	30	260	110019	781767	0
