Vite	20	65	172734	745379	48289
Vittal	15	55	127633	750990	17618
Vithal Udyognagar INA	10	155	225340	729254	5035
Vit	28	163	233394	742387	0
Vita	20	112	201393	750005	0
Vita	20	53	201213	756766	0
Vita Buzurg	20	151	190756	764778	0
Vita Khurd	20	151	190758	764874	0
Vitai	20	185	211622	747984	0
Vitala	20	132	207322	783078	0
Vitalapur	31	272	169364	774965	0
Vitalapura	15	265	142870	760292	0
Vitalapura	15	603	129830	771972	0
Vitali	20	169	210165	771024	0
Vitalpur	15	167	176619	773768	0
Vitampeta	31	63	188021	785885	0
Vitava	20	185	212052	742040	0
Vitgondankoppa	15	333	140631	754475	0
Vithala	20	67	200299	777475	0
Vithala	15	97	136742	755468	0
Vithalapur	15	583	150087	757848	0
Vithalapur	15	333	139861	757137	0
Vithalapura	15	92	138303	774253	0
Vithalapura	15	97	137577	758859	0
Vithalapura	15	97	135751	760992	0
Vithalapura	15	652	132591	762493	0
Vithalapuram	1	195	151913	795628	0
Vithalgadh	10	29	229896	719754	0
Vithalmane	15	59	149250	746140	0
Vithalnagar	20	67	203503	778971	0
Vithalpur	10	123	233652	720544	0
Vithalpur	20	112	202309	751418	0
Vithalpuri	20	78	211551	752077	0
Vithalraopet	20	134	190562	798927	0
Vithalvadi	20	67	202882	783054	0
Vithalvadi	20	54	201259	742112	0
Vithanassheri	16	148	111433	762184	0
Vithapalle	1	426	139383	774632	0
Vithapur	15	655	151566	751793	0
Vithapur	15	91	149766	751087	0
Vithevadi	20	54	205115	741596	0
Vithlapur	20	132	212785	775454	0
Vithodar	10	133	244230	721853	0
Vitholi	20	127	201954	775734	0
Vithyal	31	62	170188	781478	0
Vitkhed	20	112	200296	750767	0
Vitlapur	15	66	154919	764097	0
Vitlapura	15	333	145849	751170	0
Vitlapura	15	333	143637	751077	0
Vitlapura	15	246	148608	768166	0
Vitlapura	15	93	125746	764741	0
Vitlapuram	1	224	153578	783066	0
Vitnahalli	15	603	126365	772506	0
Vitner	20	78	208458	755513	0
Vitner	20	78	209128	752200	0
Vitner	20	78	208274	757524	0
Vitnera	20	78	211850	750924	0
Vitnera	19	317	219592	757625	0
Vitoj	10	177	224048	734604	0
Vitolapur	9	24	155615	740064	0
Vitravatanahalli	15	92	133287	772220	0
Vittal Mudnuru	15	55	127592	751393	0
Vittalampati	30	227	112404	773886	0
Vittalapuram	30	238	125201	801309	0
Vittalapuram	30	197	122353	796976	0
Vittalapuram	30	254	108828	789732	0
Vittalur	30	254	109801	794821	0
Vittalwadi	31	58	182927	776573	0
Vittamapatti	30	193	106807	785606	0
Vittampalaiyam	30	223	113162	778472	0
Vittaneri	30	436	98352	785880	0
Vittaneripudukkudi	30	436	98386	785921	0
Vittanilaippatti	30	193	105394	786757	0
Vittapalli	15	47	131679	782519	0
Vittapatna	15	652	126911	759668	0
Vittappanayakkanpatti	30	223	112578	781973	0
Vittatola	4	632	255002	870890	0
Vittavidagai	30	159	129052	798273	0
Vittawa	20	54	202451	742967	0
Vitthalapuram	15	44	150726	767454	0
Vitthalapuram	1	195	157539	798676	0
Vitthalapuram	30	201	86856	778297	0
Vitthamrajupalle	1	10	160713	797685	0
Vittikad	16	253	109071	762859	0
Vittilapuram	30	201	90172	780136	0
Vittilpatti	30	264	98016	777206	0
Vittinayakkanpatti	30	183	104717	779468	0
Vittukkatti	30	427	109481	783382	0
Vittur	16	173	100138	765307	0
Vitur	31	386	178558	784367	0
Vitva	20	78	209144	752203	0
Vitva Budrukh	20	78	212374	757665	0
Vitva Khurd	20	78	212351	757821	0
