Vondrampadu	1	68	164974	808875	0
Vondruguda	25	349	192720	838215	0
Vondruguda	25	349	191217	839421	0
Voni	1	194	186308	837653	0
Voniker	15	59	146640	747521	0
Vonkrada	25	243	189526	838602	0
Vonriyapura	19	16	239408	767259	0
Vonthadpala	31	222	183390	789709	0
Vonti Koppal	15	74	123222	766321	0
Vontiangadi	15	188	122032	759646	0
Vontikonda	1	426	142803	777222	0
Vontimamadipalli	31	61	178774	795457	0
Vontimitta	1	221	143958	790267	0
Vontimitta	1	207	134996	785743	0
Vontivepamanupalle	1	195	152107	790217	0
Vonvoliem	9	24	155109	740637	0
