Yal	13	289	341197	745170	0
Yal	13	146	338121	753089	0
Yal	13	477	324856	755624	0
Yal	30	376	118810	790224	0
Yalaballi	15	333	143581	751804	0
Yalaballi	31	128	176452	788848	0
Yalaburagi	15	47	130100	781885	0
Yalachahalli	15	74	123859	765221	0
Yalachapalli	15	47	130458	784372	0
Yalachavadi	15	603	126056	775602	0
Yalachgeri	15	375	131030	773481	0
Yalachimande	15	47	128672	782158	0
Yalachipura	15	47	131646	781636	0
Yalachkuppi	15	43	129596	774218	0
Yalachkuppi Rampur	15	43	129641	774283	0
Yaladadlu	15	92	135127	770345	0
Yaladahalli	15	93	127691	765185	0
Yaladanalli	15	93	129533	767428	0
Yaladgandi	15	167	177239	768437	0
Yaladgandi Tanda	15	167	177380	768558	0
Yaladhalli	15	92	132028	770658	0
Yaladhalli	15	375	131917	774060	0
Yaladhalli	15	93	124556	770056	0
Yaladur	15	47	132815	782933	0
Yalaehhalli	15	375	131288	779120	0
Yalagalavanka	1	99	146513	771044	0
Yalagalhalli	15	422	135662	778936	0
Yalagi	15	72	166865	765029	0
Yalagod	15	80	167452	763233	0
Yalagondahalli	15	47	130967	783005	0
Yalagondanahalli	15	97	135607	760947	0
Yalagondanahalli	15	652	130754	760689	0
Yalahalli	15	422	133927	778170	0
Yalakalapeta	1	176	182967	836047	0
Yalakarallahalli	15	422	136307	777185	0
Yalamakuru	1	228	155103	775249	0
Yalamanchipadu	1	6	146091	799096	0
Yalamarahalli	15	352	150550	760663	0
Yalamwadi	20	156	184341	767987	0
Yalanahalli	15	652	129738	765957	0
Yalandur	15	97	131962	754336	0
Yalangeri	15	66	154654	762231	0
Yalapi	15	44	150927	770580	0
Yalapikaggallu	15	44	151238	770574	0
Yalappavandlapalle	1	190	139013	784122	0
Yalapur	15	92	133845	771183	0
Yalareddipet	1	-1	191539	783903	0
Yalavadahalli	15	265	142241	757774	0
Yalavaguli	15	47	129829	780495	0
Yalavahalli	15	47	130074	781474	0
Yalavalli	15	47	129706	781277	0
Yalavallikoppa	15	333	138585	752340	0
Yalavandapudur	30	184	127518	789966	0
Yalavara	15	47	131775	781670	0
Yalavata	15	333	144332	751378	0
Yalavatti	15	265	144057	757267	0
Yalbadigi	15	91	144949	756152	0
Yalbak	31	557	183866	793425	0
Yalchetti	15	69	116464	767057	0
Yalchigere	15	92	133347	773171	0
Yaldoda	17	2	346764	764778	0
Yalebail	20	-1	158269	743731	0
Yalehoshalli	15	603	127211	771890	0
Yalejagahalli	15	652	127290	762210	0
Yalekadekal	15	92	127828	771143	0
Yalekoppa	15	93	129790	767712	0
Yalekyatanhalli	15	375	132992	772696	0
Yalesandra	15	47	128957	780676	0
Yalesandra	15	47	129008	781554	0
Yaletotadhalli	15	603	125111	771923	0
Yalgaldinni	15	50	161706	765248	0
Yalgalwadi	15	92	129244	771534	0
Yalgod Tanda	15	80	167538	763252	0
Yali Nawandgi	15	71	175247	766453	0
Yaligere	15	422	135219	777511	0
Yalihole	15	265	144610	756747	0
Yalionke	12	460	312659	780928	0
Yalippatti	30	260	106459	784168	0
Yalisati	15	72	166846	773617	0
Yaliyur	15	93	125073	768151	0
Yaliyur	15	92	130055	770823	0
Yaliyur	15	603	125071	771990	0
Yalkodu	15	333	141343	748452	0
Yalkuru	15	92	137831	772947	0
Yalladabagi	15	92	132689	767509	0
Yalladakone	15	333	138569	751664	0
Yallamma Tanda	31	62	170697	787536	0
Yallampalli	31	62	170889	781110	0
Yallampalli	1	207	135491	791000	0
Yallampalli	1	207	135409	791086	0
Yallampet	31	58	184032	784984	0
Yallapalaiyam	30	51	115283	777972	0
Yallapalli	1	-1	190985	783695	0
Yallapudi	1	45	141055	800733	0
Yallapur	31	100	166937	793553	0
Yallapur	15	91	147300	756182	0
Yallapur	15	91	146572	757669	0
Yallapur	15	66	154281	761535	0
Yallapur Tanda	31	100	166864	793528	0
Yallapuram	15	352	148010	759558	0
Yallapuram	15	44	153169	767971	0
Yallareddigaripalli	1	45	135293	790976	0
Yallarti	1	228	154782	771264	0
Yallayapalli	1	190	140630	793019	0
Yallenahalli	15	652	127209	761106	0
Yallenahalli	15	74	125672	762453	0
Yallodu	15	422	137395	776862	0
Yallupalle	1	195	154229	788927	0
Yalluru	1	224	153063	784559	0
Yalmarhalli	15	92	134192	773582	0
Yalong	17	8	335160	768956	0
Yalpur	15	375	132480	775610	0
Yalreddipalli	31	306	167802	777237	0
Yaltur	31	32	176475	780019	0
Yalubenchi	15	44	152537	767312	0
Yaluvahalli	15	422	133691	777219	0
Yaluvahalli	15	47	132175	784580	0
Yaluvakunte	15	47	133184	781225	0
Yalvalli	15	47	131998	785435	0
Yalvar	15	80	166948	761513	0
Yalvigi	15	91	150373	754052	0
Yalwantagi	15	71	174753	768727	0
Yalwar	15	71	168950	767450	0
